0c00 559d
0c01 5598
0c02 5582
0c03 559c
0c04 55aa
0c05 5594
0c06 5587
0c07 558b
0c08 5583
0c09 55b3
0c0a 55ae
0c0b 559f
0c0c 553e
0c0d 55b2
0c0e 559a
0c0f 55bb
0c10 55ac
0c11 55b1
0c12 557e
0c13 5589
0c14 55ab
0c15 5599
0c16 570d
0c17 582f
0c18 582a
0c19 5834
0c1a 5824
0c1d 5821
0c1e 581d
0c1f 5820
0c22 5960
0c23 5a77
0c24 5a9a
0c25 5a7f
0c26 5a92
0c27 5a9b
0c28 5aa7
0c29 5b73
0c2a 5b71
0c2b 5bd2
0c2c 5bcc
0c2d 5bd3
0c2e 5bd0
0c31 5c31
0c32 5d4c
0c33 5d50
0c34 5d34
0c35 5d47
0c36 5dfd
0c37 5e45
0c38 5e3d
0c39 5e40
0c3a 5e43
0c3b 5e7e
0c3c 5eca
0c3f 5ec4
0c40 5f3c
0c41 5f6d
0c44 5fa8
0c45 60d1
0c46 60e1
0c47 60b2
0c48 60b6
0c49 60e0
0c4a 611c
0c4b 6123
0c4c 60fa
0c4d 6115
0c4e 60f0
0c4f 60fb
0c50 60f4
0c51 6168
0c52 60f1
0c53 610e
0c54 60f6
0c55 6109
0c56 6100
0c57 6112
0c58 621f
0c59 6249
0c5a 63a3
0c5b 638c
0c5c 63cf
0c5d 63c0
0c5e 63e9
0c5f 63c9
0c60 63c6
0c61 63cd
0c62 63d2
0c63 63e3
0c64 63d0
0c65 63e1
0c66 63d6
0c69 6376
0c6a 63f4
0c6b 63ea
0c6c 63db
0c6d 6452
0c6e 63da
0c6f 63f9
0c70 655e
0c71 6566
0c74 6591
0c75 6590
0c76 65af
0c77 666e
0c78 6670
0c79 6674
0c7a 6676
0c7b 666f
0c7c 6691
0c7d 667a
0c7e 667e
0c7f 6677
0c82 671f
0c83 671d
0c84 68fa
0c85 68d5
0c86 68e0
0c87 68d8
0c88 68d7
0c89 6905
0c8a 68df
0c8b 68f5
0c8c 68ee
0c8d 68e7
0c8e 68f9
0c8f 68d2
0c90 68f2
0c91 68e3
0c92 68cb
0c93 68cd
0c94 690d
0c95 6912
0c96 690e
0c97 68c9
0c98 68da
0c99 696e
0c9a 68fb
0c9b 6b3e
0c9c 6b3a
0c9d 6b3d
0c9e 6b98
0c9f 6b96
0ca0 6bbc
0ca1 6bef
0ca4 6c2c
0ca5 6e2f
0ca6 6e38
0ca7 6e54
0ca8 6e21
0ca9 6e32
0caa 6e67
0cab 6e4a
0cac 6e20
0cad 6e25
0cae 6e23
0caf 6e1b
0cb0 6e5b
0cb1 6e58
0cb2 6e24
0cb3 6e56
0cb4 6e6e
0cb5 6e2d
0cb6 6e26
0cb7 6e6f
0cb8 6e34
0cb9 6e4d
0cba 6e3a
0cbb 6e2c
0cbc 6e43
0cbd 6e1d
0cbe 6e3e
0cbf 6ecb
0cc0 6e89
0cc1 6e19
0cc2 6e4e
0cc3 6e63
0cc4 6e44
0cc5 6e72
0cc6 6e69
0cc7 6e5f
0cca 7126
0ccb 7130
0ccc 7121
0ccd 7136
0cce 716e
0ccf 711c
0cd0 724c
0cd1 7284
0cd2 7280
0cd3 7336
0cd4 7325
0cd5 7334
0cd6 7329
0cd7 743a
0cd8 742a
0cd9 7433
0cda 7422
0cdb 7425
0cde 7434
0cdf 742f
0ce0 741b
0ce1 7426
0ce2 7428
0ce5 756b
0ce6 756a
0ce7 75e2
0ce8 75db
0ce9 75e3
0cea 75d9
0ceb 75d8
0cec 75de
0ced 75e0
0cf0 7696
0cf1 7693
0cf2 76b4
0cf3 76dc
0cf4 774f
0cf5 77ed
0cf6 785d
0cf7 786c
0cf8 786f
0cf9 7a0d
0cfa 7a08
0cfb 7a0b
0cfc 7a05
0cfd 7a00
0cfe 7a98
0cff 7a97
0c1b 0c1c 5830
0c20 0c21 58f9
0c2f 0c30 5c0a
0c3d 0c3e 5ec1
0c42 0c43 5fa9
0c67 0c68 63ed
0c72 0c73 6562
0c80 0c81 66fe
0ca2 0ca3 6c2e
0cc8 0cc9 7119
0cdc 0cdd 7435
0ce3 0ce4 7525
0cee 0cef 767b
