1600 9d89
1601 9d61
1602 9d72
1603 9d6a
1604 9d6c
1605 9e92
1606 9e97
1607 9e93
1608 9eb4
1609 52f8
160a 56b7
160b 56b6
160c 56b4
160d 56bc
160e 58e4
160f 5b40
1610 5b43
1611 5b7d
1612 5bf6
1613 5dc9
1614 61f8
1615 61fa
1616 6518
1617 6514
1618 6519
1619 66e6
161a 6727
161b 6aec
161c 703e
161d 7030
161e 7032
161f 7210
1620 737b
1621 74cf
1622 7662
1623 7665
1624 7926
1625 792a
1626 792c
1627 792b
1628 7ac7
1629 7af6
162a 7c4c
162b 7c43
162c 7c4d
162f 8fae
1630 7e7d
1631 7e7c
1632 7e82
1633 7f4c
1634 8000
1635 81da
1636 8266
1637 85fb
1638 85f9
1639 8611
163a 85fa
163b 8606
163c 860b
163d 8607
163e 860a
1641 8964
1642 89ba
1643 89f8
1644 8b70
1645 8b6c
1646 8b66
1647 8b6f
1648 8b5f
1649 8b6b
164a 8d0f
164b 8d0d
164c 8e89
164d 8e81
164e 8e85
164f 8e82
1650 91b4
1651 91cb
1652 9418
1653 9403
1654 93fd
1655 95e1
1656 9730
1657 98c4
1658 9952
1659 9951
165a 99a8
165b 9a2b
165c 9a30
165d 9a37
165e 9a35
165f 9c13
1660 9c0d
1661 9e79
1662 9eb5
1663 9ee8
1664 9f2f
1665 9f5f
1666 9f63
1667 9f61
166a 56c1
166b 56c0
166c 56c2
166d 5914
166e 5c6c
166f 5dcd
1670 61fc
1671 61fe
1672 651d
1673 651c
1674 6595
1675 66e9
1676 6afb
1677 6b04
1678 6afa
1679 6bb2
167a 704c
167b 721b
167c 72a7
167d 74d6
167e 74d4
167f 7669
1680 77d3
1681 7c50
1682 7e8f
1683 7e8c
1684 7fbc
1685 8617
1686 862d
1687 861a
1688 8823
1689 8822
168a 8821
168b 881f
168c 896a
168d 896c
168e 89bd
168f 8b74
1690 8b77
1691 8b7d
1692 8d13
1693 8e8a
1694 8e8d
1695 8e8b
1696 8f5f
1697 8faf
1698 91ba
1699 942e
169a 9433
169b 9435
169c 943a
169d 9438
169e 9432
169f 942b
16a0 95e2
16a3 9732
16a4 97ff
16a5 9867
16a6 9865
16a7 9957
16a8 9a45
16a9 9a43
16aa 9a40
16ab 9a3e
16ac 9acf
16ad 9b54
16ae 9b51
16af 9c2d
16b0 9c25
16b1 9daf
16b2 9db4
16b3 9dc2
16b4 9db8
16b5 9e9d
16b6 9eef
16b7 9f19
16b8 9f5c
16bb 513c
16bc 513b
16bd 56c8
16be 56ca
16bf 56c9
16c0 5b7f
16c1 5dd4
16c2 5dd2
16c3 5f4e
16c4 61ff
16c5 6524
16c6 6b0a
16c7 6b61
16c8 7051
16c9 7058
16ca 7380
16cb 74e4
16cc 758a
16cd 766e
16ce 766c
16cf 79b3
16d0 7c60
16d1 7c5f
16d2 807e
16d3 807d
16d4 81df
16d5 8972
16d6 896f
16d7 89fc
16d8 8b80
16db 8e91
16dc 8e93
16dd 8f61
16de 9148
16df 9444
16e4 97c3
16e5 97c1
16e6 986b
16e7 9955
16e8 9a55
16e9 9a4d
16ea 9ad2
16eb 9b1a
16ec 9c49
16ed 9c31
16ee 9c3e
16ef 9c3b
16f0 9dd3
16f1 9dd7
16f2 9f34
16f3 9f6c
16f4 9f6a
16f5 9f94
16f6 56cc
16f7 5dd6
16f8 6200
16f9 6523
16fa 652b
16fb 652a
16fc 66ec
16fd 6b10
16fe 74da
16ff 7aca
162d 162e 7cef
163f 1640 8814
1668 1669 5137
16a1 16a2 9738
16b9 16ba 9f66
16d9 16da 8d16
16e0 16e1 9451
16e2 16e3 973d
