2000 801f
2001 801e
2002 801b
2003 8047
2004 8043
2005 8048
2006 8118
2007 8125
2008 8119
2009 811b
200a 812d
200b 811f
200c 812c
200d 811e
200e 8121
200f 8115
2010 8127
2011 811d
2012 8122
2013 8211
2014 8238
2015 8233
2016 823a
2017 8234
2018 8232
2019 8274
201a 8390
201b 83a3
201c 83a8
201d 838d
201e 837a
201f 8373
2020 83a4
2021 8374
2022 838f
2023 8381
2024 8395
2025 8399
2026 8375
2027 8394
2028 83a9
2029 837d
202a 8383
202b 838c
202c 839d
202d 839b
202e 83aa
202f 838b
2030 837e
2031 83a5
2032 83af
2033 8388
2034 8397
2035 83b0
2036 837f
2037 83a6
2038 8387
2039 83ae
203a 8376
203b 8659
203c 8656
203d 86bf
203e 86b7
203f 86c2
2040 86c1
2041 86c5
2042 86ba
2043 86b0
2044 86c8
2045 86b9
2046 86b3
2047 86b8
2048 86cc
2049 86b4
204c 86c3
204f 8852
2050 8889
2051 8895
2052 88a8
2053 88a2
2054 88aa
2055 889a
2056 8891
2057 88a1
2058 889f
2059 8898
205a 88a7
205b 8899
205c 889b
205d 8897
205e 88a4
205f 88ac
2060 888c
2061 8893
2062 888e
2063 8982
2064 89d6
2065 89d9
2066 89d5
2067 8a30
2068 8a27
2069 8a2c
206a 8a1e
206b 8c39
206c 8c3b
206f 8c7d
2070 8ca5
2071 8d7d
2072 8d7b
2073 8d79
2074 8dbc
2075 8dc2
2076 8db9
2077 8dbf
2078 8dc1
2079 8ed8
207a 8ede
207b 8edd
207c 8edc
207d 8ed7
2080 9024
2081 900b
2082 9011
2083 901c
2084 900c
2085 9021
2086 90ef
2087 90ea
2088 90f0
2089 90f4
208c 90d4
208f 90e9
2090 9156
2091 9158
2092 915a
2093 9153
2094 9155
2095 91ec
2096 91f4
2097 91f1
2098 91f3
2099 91f8
209a 91e4
209b 91f9
209e 91f7
209f 91e8
20a0 91ee
20a1 957a
20a2 9586
20a3 9588
20a4 967c
20a5 966d
20a6 966b
20a7 9671
20a8 966f
20a9 96bf
20aa 976a
20ab 9804
20ac 98e5
20ad 9997
20ae 509b
20af 5095
20b0 5094
20b1 509e
20b2 508b
20b3 50a3
20b4 5083
20b5 508c
20b6 508e
20b7 509d
20b8 5068
20b9 509c
20ba 5092
20bb 5082
20bc 5087
20bd 515f
20be 51d4
20bf 5312
20c0 5311
20c1 53a4
20c2 53a7
20c3 5591
20c4 55a8
20c5 55a5
20c6 55ad
20c7 5577
20c8 5645
20c9 55a2
20ca 5593
20cb 5588
20cc 558f
20cd 55b5
20ce 5581
20cf 55a3
20d0 5592
20d1 55a4
20d2 557d
20d3 558c
20d4 55a6
20d5 557f
20d6 5595
20d7 55a1
20d8 558e
20d9 570c
20da 5829
20db 5837
20dc 5819
20dd 581e
20de 5827
20df 5823
20e0 5828
20e1 57f5
20e2 5848
20e3 5825
20e4 581c
20e5 581b
20e6 5833
20e7 583f
20e8 5836
20e9 582e
20ea 5839
20eb 5838
20ec 582d
20ed 582c
20ee 583b
20ef 5961
20f0 5aaf
20f1 5a94
20f2 5a9f
20f3 5a7a
20f4 5aa2
20f5 5a9e
20f6 5a78
20f7 5aa6
20f8 5a7c
20f9 5aa5
20fa 5aac
20fb 5a95
20fc 5aae
20fd 5a37
20fe 5a84
20ff 5a8a
204a 204b 86bb
204d 204e 86bd
206d 206e 8c5c
207e 207f 8ee0
208a 208b 90f2
208d 208e 90eb
209c 209d 91ea
