038c>  <0101
038d>  <00e1
038e>  <01ce
038f>  <00e0
0390>  <0113
0391>  <00e9
0392>  <011b
0393>  <00e8
0394>  <012b
0395>  <00ed
0396>  <01d0
0397>  <00ec
0398>  <014d
0399>  <00f3
039a>  <01d2
039b>  <00f2
039c>  <016b
039d>  <00fa
039e>  <01d4
039f>  <00f9
03a0>  <01d6
03a1>  <01d8
03a2>  <01da
03a3>  <01dc
03a4>  <00fc
03a5>  <00ea
03a6>  <0251
03a7>  <1e3f
03a8>  <0144
03a9>  <0148
03aa>  <01f9
03ab>  <0261
03ac>  <554a
03ad>  <963f
03ae>  <57c3
03af>  <6328
03b0>  <54ce
03b1>  <5509
03b2>  <54c0
03b3>  <7691
03b4>  <764c
03b5>  <853c
03b6>  <77ee
03b7>  <827e
03b8>  <788d
03b9>  <7231
03ba>  <9698
03bb>  <978d
03bc>  <6c28
03bd>  <5b89
03be>  <4ffa
03bf>  <6309
03c0>  <6697
03c1>  <5cb8
03c2>  <80fa
03c3>  <6848
03c4>  <80ae
03c5>  <6602
03c6>  <76ce
03c7>  <51f9
03c8>  <6556
03c9>  <71ac
03ca>  <7ff1
03cb>  <8884
03cc>  <50b2
03cd>  <5965
03ce>  <61ca
03cf>  <6fb3
03d0>  <82ad
03d1>  <634c
03d2>  <6252
03d3>  <53ed
03d4>  <5427
03d5>  <7b06
03d6>  <516b
03d7>  <75a4
03d8>  <5df4
03d9>  <62d4
03da>  <8dcb
03db>  <9776
03dc>  <628a
03dd>  <8019
03de>  <575d
03df>  <9738
03e0>  <7f62
03e1>  <7238
03e2>  <767d
03e3>  <67cf
03e4>  <767e
03e5>  <6446
03e6>  <4f70
03e7>  <8d25
03e8>  <62dc
03e9>  <7a17
03ea>  <6591
03eb>  <73ed
03ec>  <642c
03ed>  <6273
03ee>  <822c
03ef>  <9881
03f0>  <677f
03f1>  <7248
03f2>  <626e
03f3>  <62cc
03f4>  <4f34
03f5>  <74e3
03f6>  <534a
03f7>  <529e
03f8>  <7eca
03f9>  <90a6
03fa>  <5e2e
03fb>  <6886
03fc>  <699c
03fd>  <8180
03fe>  <7ed1
03ff>  <68d2
0300 032d 251e
032e 038b 0021
