0600>  <8bfb
0601>  <5835
0602>  <7779
0603>  <8d4c
0604>  <675c
0605>  <9540
0606>  <809a
0607>  <5ea6
0608>  <6e21
0609>  <5992
060a>  <7aef
060b>  <77ed
060c>  <953b
060d>  <6bb5
060e>  <65ad
060f>  <7f0e
0610>  <5806
0611>  <5151
0612>  <961f
0613>  <5bf9
0614>  <58a9
0615>  <5428
0616>  <8e72
0617>  <6566
0618>  <987f
0619>  <56e4
061a>  <949d
061b>  <76fe
061c>  <9041
061d>  <6387
061e>  <54c6
061f>  <591a
0620>  <593a
0621>  <579b
0622>  <8eb2
0623>  <6735
0624>  <8dfa
0625>  <8235
0626>  <5241
0627>  <60f0
0628>  <5815
0629>  <86fe
062a>  <5ce8
062b>  <9e45
062c>  <4fc4
062d>  <989d
062e>  <8bb9
062f>  <5a25
0630>  <6076
0631>  <5384
0632>  <627c
0633>  <904f
0634>  <9102
0635>  <997f
0636>  <6069
0637>  <800c
0638>  <513f
0639>  <8033
063a>  <5c14
063b>  <9975
063c>  <6d31
063d>  <4e8c
063e>  <8d30
063f>  <53d1
0640>  <7f5a
0641>  <7b4f
0642>  <4f10
0643>  <4e4f
0644>  <9600
0645>  <6cd5
0646>  <73d0
0647>  <85e9
0648>  <5e06
0649>  <756a
064a>  <7ffb
064b>  <6a0a
064c>  <77fe
064d>  <9492
064e>  <7e41
064f>  <51e1
0650>  <70e6
0651>  <53cd
0652>  <8fd4
0653>  <8303
0654>  <8d29
0655>  <72af
0656>  <996d
0657>  <6cdb
0658>  <574a
0659>  <82b3
065a>  <65b9
065b>  <80aa
065c>  <623f
065d>  <9632
065e>  <59a8
065f>  <4eff
0660>  <8bbf
0661>  <7eba
0662>  <653e
0663>  <83f2
0664>  <975e
0665>  <5561
0666>  <98de
0667>  <80a5
0668>  <532a
0669>  <8bfd
066a>  <5420
066b>  <80ba
066c>  <5e9f
066d>  <6cb8
066e>  <8d39
066f>  <82ac
0670>  <915a
0671>  <5429
0672>  <6c1b
0673>  <5206
0674>  <7eb7
0675>  <575f
0676>  <711a
0677>  <6c7e
0678>  <7c89
0679>  <594b
067a>  <4efd
067b>  <5fff
067c>  <6124
067d>  <7caa
067e>  <4e30
067f>  <5c01
0680>  <67ab
0681>  <8702
0682>  <5cf0
0683>  <950b
0684>  <98ce
0685>  <75af
0686>  <70fd
0687>  <9022
0688>  <51af
0689>  <7f1d
068a>  <8bbd
068b>  <5949
068c>  <51e4
068d>  <4f5b
068e>  <5426
068f>  <592b
0690>  <6577
0691>  <80a4
0692>  <5b75
0693>  <6276
0694>  <62c2
0695>  <8f90
0696>  <5e45
0697>  <6c1f
0698>  <7b26
0699>  <4f0f
069a>  <4fd8
069b>  <670d
069c>  <6d6e
069d>  <6daa
069e>  <798f
069f>  <88b1
06a0>  <5f17
06a1>  <752b
06a2>  <629a
06a3>  <8f85
06a4>  <4fef
06a5>  <91dc
06a6>  <65a7
06a7>  <812f
06a8>  <8151
06a9>  <5e9c
06aa>  <8150
06ab>  <8d74
06ac>  <526f
06ad>  <8986
06ae>  <8d4b
06af>  <590d
06b0>  <5085
06b1>  <4ed8
06b2>  <961c
06b3>  <7236
06b4>  <8179
06b5>  <8d1f
06b6>  <5bcc
06b7>  <8ba3
06b8>  <9644
06b9>  <5987
06ba>  <7f1a
06bb>  <5490
06bc>  <5676
06bd>  <560e
06be>  <8be5
06bf>  <6539
06c0>  <6982
06c1>  <9499
06c2>  <76d6
06c3>  <6e89
06c4>  <5e72
06c5>  <7518
06c6>  <6746
06c7>  <67d1
06c8>  <7aff
06c9>  <809d
06ca>  <8d76
06cb>  <611f
06cc>  <79c6
06cd>  <6562
06ce>  <8d63
06cf>  <5188
06d0>  <521a
06d1>  <94a2
06d2>  <7f38
06d3>  <809b
06d4>  <7eb2
06d5>  <5c97
06d6>  <6e2f
06d7>  <6760
06d8>  <7bd9
06d9>  <768b
06da>  <9ad8
06db>  <818f
06dc>  <7f94
06dd>  <7cd5
06de>  <641e
06df>  <9550
06e0>  <7a3f
06e1>  <544a
06e2>  <54e5
06e3>  <6b4c
06e4>  <6401
06e5>  <6208
06e6>  <9e3d
06e7>  <80f3
06e8>  <7599
06e9>  <5272
06ea>  <9769
06eb>  <845b
06ec>  <683c
06ed>  <86e4
06ee>  <9601
06ef>  <9694
06f0>  <94ec
06f1>  <4e2a
06f2>  <5404
06f3>  <7ed9
06f4>  <6839
06f5>  <8ddf
06f6>  <8015
06f7>  <66f4
06f8>  <5e9a
06f9>  <7fb9
06fa>  <57c2
06fb>  <803f
06fc>  <6897
06fd>  <5de5
06fe>  <653b
06ff>  <529f
