0c00>  <6f06
0c01>  <67d2
0c02>  <6c8f
0c03>  <5176
0c04>  <68cb
0c05>  <5947
0c06>  <6b67
0c07>  <7566
0c08>  <5d0e
0c09>  <8110
0c0a>  <9f50
0c0b>  <65d7
0c0c>  <7948
0c0d>  <7941
0c0e>  <9a91
0c0f>  <8d77
0c10>  <5c82
0c11>  <4e5e
0c12>  <4f01
0c13>  <542f
0c14>  <5951
0c15>  <780c
0c16>  <5668
0c17>  <6c14
0c18>  <8fc4
0c19>  <5f03
0c1a>  <6c7d
0c1b>  <6ce3
0c1c>  <8bab
0c1d>  <6390
0c1e>  <6070
0c1f>  <6d3d
0c20>  <7275
0c21>  <6266
0c22>  <948e
0c23>  <94c5
0c24>  <5343
0c25>  <8fc1
0c26>  <7b7e
0c27>  <4edf
0c28>  <8c26
0c29>  <4e7e
0c2a>  <9ed4
0c2b>  <94b1
0c2c>  <94b3
0c2d>  <524d
0c2e>  <6f5c
0c2f>  <9063
0c30>  <6d45
0c31>  <8c34
0c32>  <5811
0c33>  <5d4c
0c34>  <6b20
0c35>  <6b49
0c36>  <67aa
0c37>  <545b
0c38>  <8154
0c39>  <7f8c
0c3a>  <5899
0c3b>  <8537
0c3c>  <5f3a
0c3d>  <62a2
0c3e>  <6a47
0c3f>  <9539
0c40>  <6572
0c41>  <6084
0c42>  <6865
0c43>  <77a7
0c44>  <4e54
0c45>  <4fa8
0c46>  <5de7
0c47>  <9798
0c48>  <64ac
0c49>  <7fd8
0c4a>  <5ced
0c4b>  <4fcf
0c4c>  <7a8d
0c4d>  <5207
0c4e>  <8304
0c4f>  <4e14
0c50>  <602f
0c51>  <7a83
0c52>  <94a6
0c53>  <4fb5
0c54>  <4eb2
0c55>  <79e6
0c56>  <7434
0c57>  <52e4
0c58>  <82b9
0c59>  <64d2
0c5a>  <79bd
0c5b>  <5bdd
0c5c>  <6c81
0c5d>  <9752
0c5e>  <8f7b
0c5f>  <6c22
0c60>  <503e
0c61>  <537f
0c62>  <6e05
0c63>  <64ce
0c64>  <6674
0c65>  <6c30
0c66>  <60c5
0c67>  <9877
0c68>  <8bf7
0c69>  <5e86
0c6a>  <743c
0c6b>  <7a77
0c6c>  <79cb
0c6d>  <4e18
0c6e>  <90b1
0c6f>  <7403
0c70>  <6c42
0c71>  <56da
0c72>  <914b
0c73>  <6cc5
0c74>  <8d8b
0c75>  <533a
0c76>  <86c6
0c77>  <66f2
0c78>  <8eaf
0c79>  <5c48
0c7a>  <9a71
0c7b>  <6e20
0c7c>  <53d6
0c7d>  <5a36
0c7e>  <9f8b
0c7f>  <8da3
0c80>  <53bb
0c81>  <5708
0c82>  <98a7
0c83>  <6743
0c84>  <919b
0c85>  <6cc9
0c86>  <5168
0c87>  <75ca
0c88>  <62f3
0c89>  <72ac
0c8a>  <5238
0c8b>  <529d
0c8c>  <7f3a
0c8d>  <7094
0c8e>  <7638
0c8f>  <5374
0c90>  <9e4a
0c91>  <69b7
0c92>  <786e
0c93>  <96c0
0c94>  <88d9
0c95>  <7fa4
0c96>  <7136
0c97>  <71c3
0c98>  <5189
0c99>  <67d3
0c9a>  <74e4
0c9b>  <58e4
0c9c>  <6518
0c9d>  <56b7
0c9e>  <8ba9
0c9f>  <9976
0ca0>  <6270
0ca1>  <7ed5
0ca2>  <60f9
0ca3>  <70ed
0ca4>  <58ec
0ca5>  <4ec1
0ca6>  <4eba
0ca7>  <5fcd
0ca8>  <97e7
0ca9>  <4efb
0caa>  <8ba4
0cab>  <5203
0cac>  <598a
0cad>  <7eab
0cae>  <6254
0caf>  <4ecd
0cb0>  <65e5
0cb1>  <620e
0cb2>  <8338
0cb3>  <84c9
0cb4>  <8363
0cb5>  <878d
0cb6>  <7194
0cb7>  <6eb6
0cb8>  <5bb9
0cb9>  <7ed2
0cba>  <5197
0cbb>  <63c9
0cbc>  <67d4
0cbd>  <8089
0cbe>  <8339
0cbf>  <8815
0cc0>  <5112
0cc1>  <5b7a
0cc2>  <5982
0cc3>  <8fb1
0cc4>  <4e73
0cc5>  <6c5d
0cc6>  <5165
0cc7>  <8925
0cc8>  <8f6f
0cc9>  <962e
0cca>  <854a
0ccb>  <745e
0ccc>  <9510
0ccd>  <95f0
0cce>  <6da6
0ccf>  <82e5
0cd0>  <5f31
0cd1>  <6492
0cd2>  <6d12
0cd3>  <8428
0cd4>  <816e
0cd5>  <9cc3
0cd6>  <585e
0cd7>  <8d5b
0cd8>  <4e09
0cd9>  <53c1
0cda>  <4f1e
0cdb>  <6563
0cdc>  <6851
0cdd>  <55d3
0cde>  <4e27
0cdf>  <6414
0ce0>  <9a9a
0ce1>  <626b
0ce2>  <5ac2
0ce3>  <745f
0ce4>  <8272
0ce5>  <6da9
0ce6>  <68ee
0ce7>  <50e7
0ce8>  <838e
0ce9>  <7802
0cea>  <6740
0ceb>  <5239
0cec>  <6c99
0ced>  <7eb1
0cee>  <50bb
0cef>  <5565
0cf0>  <715e
0cf1>  <7b5b
0cf2>  <6652
0cf3>  <73ca
0cf4>  <82eb
0cf5>  <6749
0cf6>  <5c71
0cf7>  <5220
0cf8>  <717d
0cf9>  <886b
0cfa>  <95ea
0cfb>  <9655
0cfc>  <64c5
0cfd>  <8d61
0cfe>  <81b3
0cff>  <5584
