1800>  <7f1b
1801>  <7f1f
1812>  <7f35
1813>  <5e7a
1814>  <757f
1815>  <5ddb
1816>  <753e
1817>  <9095
1818>  <738e
1819>  <7391
181a>  <73ae
181b>  <73a2
181c>  <739f
181d>  <73cf
181e>  <73c2
181f>  <73d1
1820>  <73b7
1821>  <73b3
1822>  <73c0
1823>  <73c9
1824>  <73c8
1825>  <73e5
1826>  <73d9
1827>  <987c
1828>  <740a
1829>  <73e9
182a>  <73e7
182b>  <73de
182c>  <73ba
182d>  <73f2
182e>  <740f
182f>  <742a
1830>  <745b
1831>  <7426
1832>  <7425
1833>  <7428
1834>  <7430
1835>  <742e
1836>  <742c
1837>  <741b
1838>  <741a
1839>  <7441
183a>  <745c
183b>  <7457
183c>  <7455
183d>  <7459
183e>  <7477
183f>  <746d
1840>  <747e
1841>  <749c
1842>  <748e
1845>  <7487
1846>  <748b
1847>  <749e
184a>  <7490
184b>  <74a7
184c>  <74d2
184d>  <74ba
1851>  <674c
1852>  <6753
1853>  <675e
1854>  <6748
1855>  <6769
1856>  <67a5
1857>  <6787
1858>  <676a
1859>  <6773
185a>  <6798
185b>  <67a7
185c>  <6775
185d>  <67a8
185e>  <679e
185f>  <67ad
1860>  <678b
1861>  <6777
1862>  <677c
1863>  <67f0
1864>  <6809
1865>  <67d8
1866>  <680a
1867>  <67e9
1868>  <67b0
1869>  <680c
186a>  <67d9
186b>  <67b5
186c>  <67da
186d>  <67b3
186e>  <67dd
186f>  <6800
1870>  <67c3
1871>  <67b8
1872>  <67e2
1873>  <680e
1874>  <67c1
1875>  <67fd
187a>  <684e
187b>  <6862
187c>  <6844
187d>  <6864
187e>  <6883
187f>  <681d
1880>  <6855
1881>  <6866
1882>  <6841
1883>  <6867
1884>  <6840
1885>  <683e
1886>  <684a
1887>  <6849
1888>  <6829
1889>  <68b5
188a>  <688f
188b>  <6874
188c>  <6877
188d>  <6893
188e>  <686b
188f>  <68c2
1890>  <696e
1891>  <68fc
1894>  <68f9
1895>  <6924
1896>  <68f0
1897>  <690b
1898>  <6901
1899>  <6957
189a>  <68e3
189b>  <6910
189c>  <6971
189d>  <6939
189e>  <6960
189f>  <6942
18a0>  <695d
18a1>  <6984
18a2>  <696b
18a3>  <6980
18a4>  <6998
18a5>  <6978
18a6>  <6934
18a7>  <69cc
18aa>  <69ce
18ab>  <6989
18ac>  <6966
18ad>  <6963
18ae>  <6979
18af>  <699b
18b0>  <69a7
18b1>  <69bb
18b2>  <69ab
18b3>  <69ad
18b4>  <69d4
18b5>  <69b1
18b6>  <69c1
18b7>  <69ca
18b8>  <69df
18b9>  <6995
18ba>  <69e0
18bb>  <698d
18bc>  <69ff
18bd>  <6a2f
18be>  <69ed
18c1>  <6a65
18c2>  <69f2
18c3>  <6a44
18c4>  <6a3e
18c5>  <6aa0
18c6>  <6a50
18c7>  <6a5b
18c8>  <6a35
18c9>  <6a8e
18ca>  <6a79
18cb>  <6a3d
18cc>  <6a28
18cd>  <6a58
18ce>  <6a7c
18cf>  <6a91
18d0>  <6a90
18d1>  <6aa9
18d2>  <6a97
18d3>  <6aab
18d4>  <7337
18d5>  <7352
18d8>  <6b87
18d9>  <6b84
18dc>  <6b8d
18df>  <6ba1
18e0>  <6baa
18e1>  <8f6b
18e2>  <8f6d
18e8>  <8f78
18e9>  <8f77
18ec>  <8f7c
18ed>  <8f7e
18f0>  <8f84
18f1>  <8f87
18f2>  <8f8b
18f6>  <8f98
18f7>  <8f9a
18f8>  <8ece
18f9>  <620b
18fa>  <6217
18fb>  <621b
18fc>  <621f
18fd>  <6222
18fe>  <6221
18ff>  <6225
1802 1808 7f21
1809 180c 7f2a
180d 1811 7f2f
1843 1844 7480
1848 1849 74a8
184e 1850 97ea
1876 1877 6832
1878 1879 6860
1892 1893 691f
18a8 18a9 6987
18bf 18c0 6a17
18d6 18d7 6b81
18da 18db 6b92
18dd 18de 6b9a
18e3 18e5 8f71
18e6 18e7 8f75
18ea 18eb 8f79
18ee 18ef 8f81
18f3 18f5 8f8d
