1a00>  <7962
1a01>  <7957
1a02>  <7960
1a03>  <796f
1a04>  <7967
1a05>  <797a
1a06>  <7985
1a07>  <798a
1a08>  <799a
1a09>  <79a7
1a0a>  <79b3
1a0b>  <5fd1
1a0c>  <5fd0
1a0d>  <603c
1a0e>  <605d
1a0f>  <605a
1a10>  <6067
1a11>  <6041
1a12>  <6059
1a13>  <6063
1a14>  <60ab
1a15>  <6106
1a16>  <610d
1a17>  <615d
1a18>  <61a9
1a19>  <619d
1a1a>  <61cb
1a1b>  <61d1
1a1c>  <6206
1a1d>  <8080
1a1e>  <807f
1a1f>  <6c93
1a20>  <6cf6
1a21>  <6dfc
1a22>  <77f6
1a23>  <77f8
1a24>  <7800
1a25>  <7809
1a28>  <7811
1a29>  <65ab
1a2a>  <782d
1a30>  <781f
1a31>  <783c
1a32>  <7825
1a33>  <782c
1a34>  <7823
1a35>  <7829
1a36>  <784e
1a37>  <786d
1a3a>  <7826
1a3b>  <7850
1a3c>  <7847
1a3d>  <784c
1a3e>  <786a
1a3f>  <789b
1a40>  <7893
1a41>  <789a
1a42>  <7887
1a43>  <789c
1a44>  <78a1
1a45>  <78a3
1a46>  <78b2
1a47>  <78b9
1a48>  <78a5
1a49>  <78d4
1a4a>  <78d9
1a4b>  <78c9
1a4c>  <78ec
1a4d>  <78f2
1a4e>  <7905
1a4f>  <78f4
1a50>  <7913
1a51>  <7924
1a52>  <791e
1a53>  <7934
1a54>  <9f9b
1a55>  <9ef9
1a58>  <76f1
1a59>  <7704
1a5a>  <770d
1a5b>  <76f9
1a5e>  <771a
1a5f>  <7722
1a60>  <7719
1a61>  <772d
1a62>  <7726
1a63>  <7735
1a64>  <7738
1a67>  <7747
1a68>  <7743
1a69>  <775a
1a6a>  <7768
1a6b>  <7762
1a6c>  <7765
1a6d>  <777f
1a6e>  <778d
1a6f>  <777d
1a70>  <7780
1a71>  <778c
1a72>  <7791
1a75>  <77b0
1a76>  <77b5
1a77>  <77bd
1a78>  <753a
1a79>  <7540
1a7a>  <754e
1a7b>  <754b
1a7c>  <7548
1a7d>  <755b
1a7e>  <7572
1a7f>  <7579
1a80>  <7583
1a81>  <7f58
1a82>  <7f61
1a83>  <7f5f
1a84>  <8a48
1a85>  <7f68
1a86>  <7f74
1a87>  <7f71
1a88>  <7f79
1a89>  <7f81
1a8a>  <7f7e
1a8b>  <76cd
1a8c>  <76e5
1a8d>  <8832
1a91>  <948b
1a92>  <948a
1a97>  <9494
1a98>  <9497
1a99>  <9495
1a9f>  <94ab
1aa0>  <94aa
1aa1>  <94ad
1aa2>  <94ac
1aa5>  <94b2
1aa6>  <94b4
1aae>  <94bf
1aaf>  <94c4
1abd>  <94d9
1abe>  <94d8
1abf>  <94db
1ac3>  <94e2
1ac8>  <94ea
1ac9>  <94e9
1aca>  <94eb
1ad0>  <94f7
1ad1>  <94f9
1ad4>  <94ff
1ad5>  <9503
1ad6>  <9502
1ae3>  <9518
1ae4>  <951b
1ae8>  <9522
1aeb>  <9529
1aec>  <952c
1aef>  <9534
1af3>  <953c
1af6>  <9542
1af7>  <9535
1afb>  <9549
1afc>  <954c
1aff>  <9552
1a26 1a27 7817
1a2b 1a2c 781c
1a2d 1a2f 7839
1a38 1a39 7856
1a56 1a57 9efb
1a5c 1a5d 7707
1a65 1a66 7750
1a73 1a74 779f
1a8e 1a90 9485
1a93 1a94 948c
1a95 1a96 948f
1a9a 1a9c 949a
1a9d 1a9e 94a3
1aa3 1aa4 94af
1aa7 1aab 94b6
1aac 1aad 94bc
1ab0 1ab6 94c8
1ab7 1ab9 94d0
1aba 1abc 94d5
1ac0 1ac2 94de
1ac4 1ac5 94e4
1ac6 1ac7 94e7
1acb 1acc 94ee
1acd 1acf 94f3
1ad2 1ad3 94fc
1ad7 1ad8 9506
1ad9 1ada 9509
1adb 1add 950d
1ade 1ae2 9512
1ae5 1ae7 951d
1ae9 1aea 952a
1aed 1aee 9531
1af0 1af2 9536
1af4 1af5 953e
1af8 1afa 9544
1afd 1afe 954e
