1e00>  <9e92
1e01>  <93d6
1e02>  <9e9d
1e03>  <9e9f
1e07>  <9ee0
1e08>  <9edf
1e09>  <9ee2
1e0a>  <9ee9
1e0b>  <9ee7
1e0c>  <9ee5
1e0d>  <9eea
1e0e>  <9eef
1e0f>  <9f22
1e10>  <9f2c
1e11>  <9f2f
1e12>  <9f39
1e13>  <9f37
1e16>  <9f44
1e17>  <3007
1e18>  <ff5e
1e19>  <2016
1e1a>  <3013
1e1b>  <ff0e
1e1c>  <ff1d
1e1d>  <ff3b
1e1e>  <ff3d
1e1f>  <ffe3
1e20>  <00fc
1e21>  <00a9
1e22>  <2122
1e23>  <2026
1e24>  <0020
1e25>  <769a
1e26>  <85f9
1e27>  <7919
1e28>  <611b
1e29>  <9aaf
1e2a>  <8956
1e2b>  <58e9
1e2c>  <7f77
1e2d>  <64fa
1e2e>  <6557
1e2f>  <9812
1e30>  <8fa6
1e31>  <7d46
1e32>  <5e6b
1e33>  <7d81
1e34>  <938a
1e35>  <8b17
1e36>  <98fd
1e37>  <5bf6
1e38>  <5831
1e39>  <9b91
1e3a>  <8f29
1e3b>  <8c9d
1e3c>  <92c7
1e3d>  <72fd
1e3e>  <5099
1e3f>  <618a
1e40>  <7db3
1e41>  <7b46
1e42>  <7562
1e43>  <6583
1e44>  <5e63
1e45>  <9589
1e46>  <908a
1e47>  <7de8
1e48>  <8cb6
1e49>  <8b8a
1e4a>  <8faf
1e4b>  <8fae
1e4c>  <6a19
1e4d>  <9c49
1e4e>  <765f
1e4f>  <7015
1e50>  <6ff1
1e51>  <8cd3
1e52>  <64ef
1e53>  <9905
1e54>  <64a5
1e55>  <9262
1e56>  <9251
1e57>  <99c1
1e58>  <88dc
1e59>  <8ca1
1e5a>  <53c3
1e5b>  <8836
1e5c>  <6b98
1e5d>  <615a
1e5e>  <6158
1e5f>  <71e6
1e60>  <84bc
1e61>  <8259
1e62>  <5009
1e63>  <6ec4
1e64>  <53a0
1e65>  <5074
1e66>  <6e2c
1e67>  <5c64
1e68>  <8a6b
1e69>  <6519
1e6a>  <647b
1e6b>  <87ec
1e6c>  <995e
1e6d>  <8b92
1e6e>  <7e8f
1e6f>  <93df
1e70>  <7523
1e71>  <95e1
1e72>  <986b
1e73>  <5834
1e74>  <5617
1e75>  <9577
1e76>  <511f
1e77>  <8178
1e78>  <5ee0
1e79>  <66a2
1e7a>  <9214
1e7b>  <8eca
1e7c>  <5fb9
1e7d>  <5875
1e7e>  <9673
1e7f>  <896f
1e80>  <7a31
1e81>  <61f2
1e82>  <8aa0
1e83>  <9a01
1e84>  <9072
1e85>  <99b3
1e86>  <9f52
1e87>  <71be
1e88>  <885d
1e89>  <87f2
1e8a>  <5bf5
1e8b>  <7587
1e8c>  <8e8a
1e8d>  <7c4c
1e8e>  <7da2
1e8f>  <919c
1e90>  <92e4
1e91>  <96db
1e92>  <790e
1e93>  <5132
1e94>  <89f8
1e95>  <8655
1e96>  <50b3
1e97>  <7621
1e98>  <95d6
1e99>  <5275
1e9a>  <9318
1e9b>  <7d14
1e9c>  <7dbd
1e9d>  <8fad
1e9e>  <8a5e
1e9f>  <8cdc
1ea0>  <8070
1ea1>  <5f9e
1ea2>  <53e2
1ea3>  <8ea5
1ea4>  <7ac4
1ea5>  <932f
1ea6>  <9054
1ea7>  <5e36
1ea8>  <8cb8
1ea9>  <64d4
1eaa>  <55ae
1eab>  <9132
1eac>  <64a3
1ead>  <81bd
1eae>  <619a
1eaf>  <8a95
1eb0>  <5f48
1eb1>  <7576
1eb2>  <64cb
1eb3>  <9ee8
1eb4>  <8569
1eb5>  <6a94
1eb6>  <6417
1eb7>  <5cf6
1eb8>  <79b1
1eb9>  <5c0e
1eba>  <71c8
1ebb>  <9127
1ebc>  <6575
1ebd>  <6ecc
1ebe>  <905e
1ebf>  <7de0
1ec0>  <985b
1ec1>  <9ede
1ec2>  <588a
1ec3>  <96fb
1ec4>  <6fb1
1ec5>  <91e3
1ec6>  <8abf
1ec7>  <8adc
1ec8>  <91d8
1ec9>  <9802
1eca>  <9320
1ecb>  <8a02
1ecc>  <6771
1ecd>  <52d5
1ece>  <68df
1ecf>  <51cd
1ed0>  <9b25
1ed1>  <72a2
1ed2>  <7368
1ed3>  <8b80
1ed4>  <8ced
1ed5>  <934d
1ed6>  <935b
1ed7>  <65b7
1ed8>  <7dde
1ed9>  <968a
1eda>  <5c0d
1edb>  <5678
1edc>  <9813
1edd>  <920d
1ede>  <596a
1edf>  <58ae
1ee0>  <9d5d
1ee1>  <984d
1ee2>  <8a1b
1ee3>  <60e1
1ee4>  <9913
1ee5>  <5152
1ee6>  <723e
1ee7>  <990c
1ee8>  <8cb3
1ee9>  <767c
1eea>  <7f70
1eeb>  <95a5
1eec>  <792c
1eed>  <91e9
1eee>  <7169
1eef>  <7bc4
1ef0>  <8ca9
1ef1>  <98ef
1ef2>  <8a2a
1ef3>  <7d21
1ef4>  <98db
1ef5>  <8ab9
1ef6>  <5ee2
1ef7>  <8cbb
1ef8>  <7d1b
1ef9>  <58b3
1efa>  <596e
1efb>  <61a4
1efc>  <7cde
1efd>  <8c50
1efe>  <6953
1eff>  <92d2
1e04 1e06 9edb
1e14 1e15 9f3d
