470e>  <8512
4716>  <8520
4717>  <8522
472a>  <8542
472d>  <8547
4734>  <8554
4735>  <8557
473d>  <8563
4747>  <8573
474a>  <8578
4752>  <8586
4753>  <8589
4754>  <858b
4757>  <8590
4766>  <85a5
4767>  <85a7
4771>  <85b8
4784>  <85d4
479d>  <85f5
47c0>  <8628
47ce>  <8639
47cf>  <863b
47e5>  <865b
47e6>  <865d
47f0>  <866d
4700 4709 8502
470a 470d 850d
470f 4710 8515
4711 4712 8518
4713 4715 851b
4718 4719 8524
471a 471d 8527
471e 4726 852e
4727 4729 853e
472b 472c 8544
472e 4730 854b
4731 4733 854f
4736 4739 855a
473a 473c 855f
473e 4740 8565
4741 4742 856b
4743 4746 856e
4748 4749 8575
474b 474c 857c
474d 4751 857f
4755 4756 858d
4758 4759 8592
475a 475f 8595
4760 4761 859d
4762 4765 85a0
4768 476a 85ab
476b 4770 85b1
4772 4777 85bb
4778 477e 85c2
477f 4781 85ca
4782 4783 85d1
4785 478a 85d6
478b 4790 85de
4791 4793 85e6
4794 479c 85eb
479e 479f 85f7
47a0 47a2 85fc
47a3 47a6 8600
47a7 47a9 8608
47aa 47ae 860c
47af 47b2 8612
47b3 47b5 8617
47b6 47b8 861b
47b9 47bb 861f
47bc 47bf 8623
47c1 47c3 862a
47c4 47cd 862e
47d0 47d1 863d
47d2 47de 8640
47df 47e0 8652
47e1 47e4 8656
47e7 47e8 8660
47e9 47ec 8663
47ed 47ef 8668
47f1 47f2 866f
47f3 47f9 8672
47fa 47ff 8683
