5112>  <978c
5113>  <978e
5114>  <9790
5115>  <9793
5128>  <97ac
5129>  <97ae
512c>  <97b3
513e>  <97ca
514c>  <97dd
5154>  <97e8
515a>  <97f4
5163>  <9800
5164>  <9804
5165>  <9809
5166>  <980b
5167>  <980d
5174>  <9825
5185>  <983c
519a>  <985a
51a2>  <9866
51a8>  <9872
51a9>  <988b
51aa>  <988e
51ab>  <9892
51ac>  <9895
51ad>  <9899
51ae>  <98a3
51b4>  <98b0
51b5>  <98b2
51c4>  <98c5
51c5>  <98c7
51cd>  <98d4
51d2>  <98e1
51d7>  <98ec
51d8>  <98ee
51db>  <98f3
51e7>  <9904
51eb>  <990b
5100 5104 9777
5105 510c 977d
510d 5111 9786
5116 5118 9795
5119 511f 9799
5120 5121 97a1
5122 5123 97a4
5124 5127 97a7
512a 512b 97b0
512d 5134 97b5
5135 5139 97be
513a 513b 97c4
513c 513d 97c7
513f 5144 97cd
5145 5149 97d4
514a 514b 97da
514d 5153 97df
5155 5159 97ee
515b 5162 97f7
5168 516a 9814
516b 516d 9819
516e 5171 981d
5172 5173 9822
5175 517a 9827
517b 517c 982e
517d 5182 9831
5183 5184 9839
5186 518d 983e
518e 5192 9847
5193 5196 984f
5197 5199 9855
519b 519c 985c
519d 519f 985f
51a0 51a1 9863
51a3 51a5 9868
51a6 51a7 986d
51af 51b3 98a9
51b6 51b7 98b4
51b8 51bc 98b7
51bd 51c3 98bd
51c6 51ca 98c9
51cb 51cc 98cf
51ce 51cf 98d6
51d0 51d1 98dc
51d3 51d6 98e3
51d9 51da 98f0
51dc 51e2 98f5
51e3 51e6 98ff
51e8 51ea 9906
51ec 51ed 990e
51ee 51f1 9914
51f2 51f3 9919
51f4 51f5 991c
51f6 51f7 991f
51f8 51fd 9922
51fe 51ff 9929
