0b00 618e
0b01 81d3
0b02 8535
0b03 8d08
0b04 9020
0b05 4fc3
0b06 5074
0b07 5247
0b08 5373
0b09 606f
0b0a 6349
0b0b 675f
0b0c 6e2c
0b0d 8db3
0b0e 901f
0b0f 4fd7
0b10 5c5e
0b11 8cca
0b12 65cf
0b13 7d9a
0b14 5352
0b15 8896
0b16 5176
0b17 63c3
0b18 5b58
0b19 5b6b
0b1a 5c0a
0b1b 640d
0b1c 6751
0b1d 905c
0b1e 4ed6
0b1f 591a
0b20 592a
0b21 6c70
0b22 8a51
0b23 553e
0b24 5815
0b25 59a5
0b26 60f0
0b27 6253
0b28 67c1
0b29 8235
0b2a 6955
0b2b 9640
0b2c 99c4
0b2d 9a28
0b2e 4f53
0b2f 5806
0b30 5bfe
0b31 8010
0b32 5cb1
0b33 5e2f
0b34 5f85
0b35 6020
0b36 614b
0b37 6234
0b38 66ff
0b39 6cf0
0b3a 6ede
0b3b 80ce
0b3c 817f
0b3d 82d4
0b3e 888b
0b3f 8cb8
0b40 9000
0b41 902e
0b42 968a
0b43 9edb
0b44 9bdb
0b45 4ee3
0b46 53f0
0b47 5927
0b48 7b2c
0b49 918d
0b4a 984c
0b4b 9df9
0b4c 6edd
0b4d 7027
0b4e 5353
0b4f 5544
0b50 5b85
0b51 6258
0b52 629e
0b53 62d3
0b54 6ca2
0b55 6fef
0b56 7422
0b57 8a17
0b58 9438
0b59 6fc1
0b5a 8afe
0b5b 8338
0b5c 51e7
0b5d 86f8
0b5e 53ea
0b5f 53e9
0b60 4f46
0b61 9054
0b62 8fb0
0b63 596a
0b64 8131
0b65 5dfd
0b66 7aea
0b67 8fbf
0b68 68da
0b69 8c37
0b6a 72f8
0b6b 9c48
0b6c 6a3d
0b6d 8ab0
0b6e 4e39
0b6f 5358
0b70 5606
0b71 5766
0b72 62c5
0b73 63a2
0b74 65e6
0b75 6b4e
0b76 6de1
0b77 6e5b
0b78 70ad
0b79 77ed
0b7a 7aef
0b7b 7baa
0b7c 7dbb
0b7d 803d
0b7e 80c6
0b7f 86cb
0b80 8a95
0b81 935b
0b82 56e3
0b83 58c7
0b84 5f3e
0b85 65ad
0b86 6696
0b87 6a80
0b88 6bb5
0b89 7537
0b8a 8ac7
0b8b 5024
0b8c 77e5
0b8d 5730
0b8e 5f1b
0b8f 6065
0b90 667a
0b91 6c60
0b92 75f4
0b93 7a1a
0b94 7f6e
0b95 81f4
0b96 8718
0b97 9045
0b98 99b3
0b99 7bc9
0b9a 755c
0b9b 7af9
0b9c 7b51
0b9d 84c4
0b9e 9010
0b9f 79e9
0ba0 7a92
0ba1 8336
0ba2 5ae1
0ba3 7740
0ba4 4e2d
0ba5 4ef2
0ba6 5b99
0ba7 5fe0
0ba8 62bd
0ba9 663c
0baa 67f1
0bab 6ce8
0bac 866b
0bad 8877
0bae 8a3b
0baf 914e
0bb0 92f3
0bb1 99d0
0bb2 6a17
0bb3 7026
0bb4 732a
0bb5 82e7
0bb6 8457
0bb7 8caf
0bb8 4e01
0bb9 5146
0bba 51cb
0bbb 558b
0bbc 5bf5
0bbd 5e16
0bbe 5e33
0bbf 5e81
0bc0 5f14
0bc1 5f35
0bc2 5f6b
0bc3 5fb4
0bc4 61f2
0bc5 6311
0bc6 66a2
0bc7 671d
0bc8 6f6e
0bc9 7252
0bca 753a
0bcb 773a
0bcc 8074
0bcd 8139
0bce 8178
0bcf 8776
0bd0 8abf
0bd1 8adc
0bd2 8d85
0bd3 8df3
0bd4 929a
0bd5 9577
0bd6 9802
0bd7 9ce5
0bd8 52c5
0bd9 6357
0bda 76f4
0bdb 6715
0bdc 6c88
0bdd 73cd
0bde 8cc3
0bdf 93ae
0be0 9673
0be1 6d25
0be2 589c
0be3 690e
0be4 69cc
0be5 8ffd
0be6 939a
0be7 75db
0be8 901a
0be9 585a
0bea 6802
0beb 63b4
0bec 69fb
0bed 4f43
0bee 6f2c
0bef 67d8
0bf0 8fbb
0bf1 8526
0bf2 7db4
0bf3 9354
0bf4 693f
0bf5 6f70
0bf6 576a
0bf7 58f7
0bf8 5b2c
0bf9 7d2c
0bfa 722a
0bfb 540a
0bfc 91e3
0bfd 9db4
0bfe 4ead
0bff 4f4e
