0c00 505c
0c01 5075
0c02 5243
0c03 8c9e
0c04 5448
0c05 5824
0c06 5b9a
0c07 5e1d
0c08 5e95
0c09 5ead
0c0a 5ef7
0c0b 5f1f
0c0c 608c
0c0d 62b5
0c0e 633a
0c0f 63d0
0c10 68af
0c11 6c40
0c12 7887
0c13 798e
0c14 7a0b
0c15 7de0
0c16 8247
0c17 8a02
0c18 8ae6
0c19 8e44
0c1a 9013
0c1b 90b8
0c1c 912d
0c1d 91d8
0c1e 9f0e
0c1f 6ce5
0c20 6458
0c21 64e2
0c22 6575
0c23 6ef4
0c24 7684
0c25 7b1b
0c26 9069
0c27 93d1
0c28 6eba
0c29 54f2
0c2a 5fb9
0c2b 64a4
0c2c 8f4d
0c2d 8fed
0c2e 9244
0c2f 5178
0c30 586b
0c31 5929
0c32 5c55
0c33 5e97
0c34 6dfb
0c35 7e8f
0c36 751c
0c37 8cbc
0c38 8ee2
0c39 985b
0c3a 70b9
0c3b 4f1d
0c3c 6bbf
0c3d 6fb1
0c3e 7530
0c3f 96fb
0c40 514e
0c41 5410
0c42 5835
0c43 5857
0c44 59ac
0c45 5c60
0c46 5f92
0c47 6597
0c48 675c
0c49 6e21
0c4a 767b
0c4b 83df
0c4c 8ced
0c4d 9014
0c4e 90fd
0c4f 934d
0c50 7825
0c51 783a
0c52 52aa
0c53 5ea6
0c54 571f
0c55 5974
0c56 6012
0c57 5012
0c58 515a
0c59 51ac
0c5a 51cd
0c5b 5200
0c5c 5510
0c5d 5854
0c5e 5858
0c5f 5957
0c60 5b95
0c61 5cf6
0c62 5d8b
0c63 60bc
0c64 6295
0c65 642d
0c66 6771
0c67 6843
0c68 68bc
0c69 68df
0c6a 76d7
0c6b 6dd8
0c6c 6e6f
0c6d 6d9b
0c6e 706f
0c6f 71c8
0c70 5f53
0c71 75d8
0c72 7977
0c73 7b49
0c74 7b54
0c75 7b52
0c76 7cd6
0c77 7d71
0c78 5230
0c79 8463
0c7a 8569
0c7b 85e4
0c7c 8a0e
0c7d 8b04
0c7e 8c46
0c7f 8e0f
0c80 9003
0c81 900f
0c82 9419
0c83 9676
0c84 982d
0c85 9a30
0c86 95d8
0c87 50cd
0c88 52d5
0c89 540c
0c8a 5802
0c8b 5c0e
0c8c 61a7
0c8d 649e
0c8e 6d1e
0c8f 77b3
0c90 7ae5
0c91 80f4
0c92 8404
0c93 9053
0c94 9285
0c95 5ce0
0c96 9d07
0c97 533f
0c98 5f97
0c99 5fb3
0c9a 6d9c
0c9b 7279
0c9c 7763
0c9d 79bf
0c9e 7be4
0c9f 6bd2
0ca0 72ec
0ca1 8aad
0ca2 6803
0ca3 6a61
0ca4 51f8
0ca5 7a81
0ca6 6934
0ca7 5c4a
0ca8 9cf6
0ca9 82eb
0caa 5bc5
0cab 9149
0cac 701e
0cad 5678
0cae 5c6f
0caf 60c7
0cb0 6566
0cb1 6c8c
0cb2 8c5a
0cb3 9041
0cb4 9813
0cb5 5451
0cb6 66c7
0cb7 920d
0cb8 5948
0cb9 90a3
0cba 5185
0cbb 4e4d
0cbc 51ea
0cbd 8599
0cbe 8b0e
0cbf 7058
0cc0 637a
0cc1 934b
0cc2 6962
0cc3 99b4
0cc4 7e04
0cc5 7577
0cc6 5357
0cc7 6960
0cc8 8edf
0cc9 96e3
0cca 6c5d
0ccb 4e8c
0ccc 5c3c
0ccd 5f10
0cce 8fe9
0ccf 5302
0cd0 8cd1
0cd1 8089
0cd2 8679
0cd3 5eff
0cd4 65e5
0cd5 4e73
0cd6 5165
0cd7 5982
0cd8 5c3f
0cd9 97ee
0cda 4efb
0cdb 598a
0cdc 5fcd
0cdd 8a8d
0cde 6fe1
0cdf 79b0
0ce0 7962
0ce1 5be7
0ce2 8471
0ce3 732b
0ce4 71b1
0ce5 5e74
0ce6 5ff5
0ce7 637b
0ce8 649a
0ce9 71c3
0cea 7c98
0ceb 4e43
0cec 5efc
0ced 4e4b
0cee 57dc
0cef 56a2
0cf0 60a9
0cf1 6fc3
0cf2 7d0d
0cf3 80fd
0cf4 8133
0cf5 81bf
0cf6 8fb2
0cf7 8997
0cf8 86a4
0cf9 5df4
0cfa 628a
0cfb 64ad
0cfc 8987
0cfd 6777
0cfe 6ce2
0cff 6d3e
