0f00 85ac
0f01 8a33
0f02 8e8d
0f03 9756
0f04 67f3
0f05 85ae
0f06 9453
0f07 6109
0f08 6108
0f09 6cb9
0f0a 7652
0f0b 8aed
0f0c 8f38
0f0d 552f
0f0e 4f51
0f0f 512a
0f10 52c7
0f11 53cb
0f12 5ba5
0f13 5e7d
0f14 60a0
0f15 6182
0f16 63d6
0f17 6709
0f18 67da
0f19 6e67
0f1a 6d8c
0f1d 7531
0f1e 7950
0f1f 88d5
0f20 8a98
0f21 904a
0f22 9091
0f23 90f5
0f24 96c4
0f25 878d
0f26 5915
0f27 4e88
0f28 4f59
0f29 4e0e
0f2a 8a89
0f2b 8f3f
0f2c 9810
0f2d 50ad
0f2e 5e7c
0f2f 5996
0f30 5bb9
0f31 5eb8
0f32 63da
0f33 63fa
0f34 64c1
0f35 66dc
0f36 694a
0f37 69d8
0f38 6d0b
0f39 6eb6
0f3a 7194
0f3b 7528
0f3c 7aaf
0f3d 7f8a
0f3e 8000
0f3f 8449
0f40 84c9
0f41 8981
0f42 8b21
0f43 8e0a
0f44 9065
0f45 967d
0f46 990a
0f47 617e
0f48 6291
0f49 6b32
0f4a 6c83
0f4b 6d74
0f4c 7fcc
0f4d 7ffc
0f4e 6dc0
0f4f 7f85
0f50 87ba
0f51 88f8
0f52 6765
0f53 83b1
0f54 983c
0f55 96f7
0f56 6d1b
0f57 7d61
0f58 843d
0f59 916a
0f5a 4e71
0f5b 5375
0f5c 5d50
0f5d 6b04
0f5e 6feb
0f5f 85cd
0f60 862d
0f61 89a7
0f62 5229
0f63 540f
0f64 5c65
0f65 674e
0f66 68a8
0f67 7406
0f68 7483
0f69 75e2
0f6a 88cf
0f6b 88e1
0f6c 91cc
0f6d 96e2
0f6e 9678
0f6f 5f8b
0f70 7387
0f71 7acb
0f72 844e
0f73 63a0
0f74 7565
0f75 5289
0f76 6d41
0f77 6e9c
0f78 7409
0f79 7559
0f7a 786b
0f7b 7c92
0f7c 9686
0f7d 7adc
0f7e 9f8d
0f7f 4fb6
0f80 616e
0f81 65c5
0f82 865c
0f83 4e86
0f84 4eae
0f85 50da
0f86 4e21
0f87 51cc
0f88 5bee
0f89 6599
0f8a 6881
0f8b 6dbc
0f8c 731f
0f8d 7642
0f8e 77ad
0f8f 7a1c
0f90 7ce7
0f91 826f
0f92 8ad2
0f93 907c
0f94 91cf
0f95 9675
0f96 9818
0f97 529b
0f98 7dd1
0f99 502b
0f9a 5398
0f9b 6797
0f9c 6dcb
0f9d 71d0
0f9e 7433
0f9f 81e8
0fa0 8f2a
0fa1 96a3
0fa2 9c57
0fa3 9e9f
0fa4 7460
0fa5 5841
0fa6 6d99
0fa7 7d2f
0fa8 985e
0fa9 4ee4
0faa 4f36
0fab 4f8b
0fac 51b7
0fad 52b1
0fae 5dba
0faf 601c
0fb0 73b2
0fb1 793c
0fb2 82d3
0fb3 9234
0fb4 96b7
0fb5 96f6
0fb6 970a
0fb7 9e97
0fb8 9f62
0fb9 66a6
0fba 6b74
0fbb 5217
0fbc 52a3
0fbd 70c8
0fbe 88c2
0fbf 5ec9
0fc0 604b
0fc1 6190
0fc2 6f23
0fc3 7149
0fc4 7c3e
0fc5 7df4
0fc6 806f
0fc7 84ee
0fc8 9023
0fc9 932c
0fca 5442
0fcb 9b6f
0fcc 6ad3
0fcd 7089
0fce 8cc2
0fcf 8def
0fd0 9732
0fd1 52b4
0fd2 5a41
0fd3 5eca
0fd4 5f04
0fd5 6717
0fd6 697c
0fd7 6994
0fd8 6d6a
0fd9 6f0f
0fda 7262
0fdb 72fc
0fdc 7bed
0fdd 8001
0fde 807e
0fdf 874b
0fe0 90ce
0fe1 516d
0fe2 9e93
0fe3 7984
0fe4 808b
0fe5 9332
0fe6 8ad6
0fe7 502d
0fe8 548c
0fe9 8a71
0fea 6b6a
0feb 8cc4
0fec 8107
0fed 60d1
0fee 67a0
0fef 9df2
0ff0 4e99
0ff1 4e98
0ff2 9c10
0ff3 8a6b
0ff4 85c1
0ff5 8568
0ff6 6900
0ff7 6e7e
0ff8 7897
0ff9 8155
0ffa 5f0c
0ffb 4e10
0ffc 4e15
0ffd 4e2a
0ffe 4e31
0fff 4e36
0f1b 0f1c 7336
