1900 8484
1901 8477
1902 846b
1903 84ad
1904 846e
1905 8482
1906 8469
1907 8446
1908 842c
1909 846f
190a 8479
190b 8435
190c 84ca
190d 8462
190e 84b9
190f 84bf
1910 849f
1911 84d9
1912 84cd
1913 84bb
1914 84da
1915 84d0
1916 84c1
1917 84c6
1918 84d6
1919 84a1
191a 8521
191b 84ff
191c 84f4
191f 852c
1920 851f
1921 8515
1922 8514
1923 84fc
1924 8540
1925 8563
1926 8558
1927 8548
1928 8541
1929 8602
192a 854b
192b 8555
192c 8580
192d 85a4
192e 8588
192f 8591
1930 858a
1931 85a8
1932 856d
1933 8594
1934 859b
1935 85ea
1936 8587
1937 859c
1938 8577
1939 857e
193a 8590
193b 85c9
193c 85ba
193d 85cf
193e 85b9
193f 85d0
1940 85d5
1941 85dd
1942 85e5
1943 85dc
1944 85f9
1945 860a
1946 8613
1947 860b
1948 85fe
1949 85fa
194a 8606
194b 8622
194c 861a
194d 8630
194e 863f
194f 864d
1950 4e55
1951 8654
1952 865f
1953 8667
1954 8671
1955 8693
1956 86a3
195b 86b6
195c 86af
195d 86c4
195e 86c6
195f 86b0
1960 86c9
1961 8823
1962 86ab
1963 86d4
1964 86de
1965 86e9
1966 86ec
1967 86df
1968 86db
1969 86ef
196a 8712
196b 8706
196c 8708
196d 8700
196e 8703
196f 86fb
1970 8711
1971 8709
1972 870d
1973 86f9
1974 870a
1975 8734
1976 873f
1977 8737
1978 873b
1979 8725
197a 8729
197b 871a
197c 8760
197d 875f
197e 8778
197f 874c
1980 874e
1981 8774
1982 8757
1983 8768
1984 876e
1985 8759
1986 8753
1987 8763
1988 876a
1989 8805
198a 87a2
198b 879f
198c 8782
198d 87af
198e 87cb
198f 87bd
1990 87c0
1991 87d0
1992 96d6
1993 87ab
1994 87c4
1995 87b3
1996 87c7
1997 87c6
1998 87bb
1999 87ef
199a 87f2
199b 87e0
199c 880f
199d 880d
199e 87fe
19a1 880e
19a2 87d2
19a3 8811
19a4 8816
19a5 8815
19a6 8822
19a7 8821
19a8 8831
19a9 8836
19aa 8839
19ab 8827
19ac 883b
19ad 8844
19ae 8842
19af 8852
19b0 8859
19b1 885e
19b2 8862
19b3 886b
19b4 8881
19b5 887e
19b6 889e
19b7 8875
19b8 887d
19b9 88b5
19ba 8872
19bb 8882
19bc 8897
19bd 8892
19be 88ae
19bf 8899
19c0 88a2
19c1 888d
19c2 88a4
19c3 88b0
19c4 88bf
19c5 88b1
19c8 88d4
19cb 88dd
19cc 88f9
19cd 8902
19ce 88fc
19cf 88f4
19d0 88e8
19d1 88f2
19d2 8904
19d3 890c
19d4 890a
19d5 8913
19d6 8943
19d7 891e
19d8 8925
19db 8941
19dc 8944
19dd 893b
19de 8936
19df 8938
19e0 894c
19e1 891d
19e2 8960
19e3 895e
19e4 8966
19e5 8964
19e6 896d
19e7 896a
19e8 896f
19e9 8974
19ea 8977
19eb 897e
19ec 8983
19ed 8988
19ee 898a
19ef 8993
19f0 8998
19f1 89a1
19f2 89a9
19f3 89a6
19f4 89ac
19f5 89af
19f6 89b2
19f7 89ba
19f8 89bd
19fb 89da
19fe 89e7
19ff 89f4
191d 191e 8517
1957 1958 86a9
1959 195a 868b
199f 19a0 87f6
19c6 19c7 88c3
19c9 19ca 88d8
19d9 19da 892a
19f9 19fa 89bf
19fc 19fd 89dc
