1a00 89f8
1a01 8a03
1a02 8a16
1a03 8a10
1a04 8a0c
1a05 8a1b
1a06 8a1d
1a07 8a25
1a08 8a36
1a09 8a41
1a0a 8a5b
1a0b 8a52
1a0c 8a46
1a0d 8a48
1a0e 8a7c
1a0f 8a6d
1a10 8a6c
1a11 8a62
1a12 8a85
1a13 8a82
1a14 8a84
1a15 8aa8
1a16 8aa1
1a17 8a91
1a1a 8a9a
1a1b 8aa3
1a1c 8ac4
1a1d 8acd
1a1e 8ac2
1a1f 8ada
1a20 8aeb
1a21 8af3
1a22 8ae7
1a23 8ae4
1a24 8af1
1a25 8b14
1a26 8ae0
1a27 8ae2
1a28 8af7
1a29 8ade
1a2a 8adb
1a2b 8b0c
1a2c 8b07
1a2d 8b1a
1a2e 8ae1
1a2f 8b16
1a30 8b10
1a31 8b17
1a32 8b20
1a33 8b33
1a34 97ab
1a35 8b26
1a36 8b2b
1a37 8b3e
1a38 8b28
1a39 8b41
1a3a 8b4c
1a3b 8b4f
1a3c 8b4e
1a3d 8b49
1a3e 8b56
1a3f 8b5b
1a40 8b5a
1a41 8b6b
1a42 8b5f
1a43 8b6c
1a44 8b6f
1a45 8b74
1a46 8b7d
1a47 8b80
1a48 8b8c
1a49 8b8e
1a4c 8b96
1a4f 8c3a
1a50 8c41
1a51 8c3f
1a52 8c48
1a53 8c4c
1a54 8c4e
1a55 8c50
1a56 8c55
1a57 8c62
1a58 8c6c
1a59 8c78
1a5a 8c7a
1a5b 8c82
1a5c 8c89
1a5d 8c85
1a5e 8c8a
1a61 8c94
1a62 8c7c
1a63 8c98
1a64 621d
1a65 8cad
1a66 8caa
1a67 8cbd
1a6a 8cae
1a6b 8cb6
1a6c 8cc8
1a6d 8cc1
1a6e 8ce4
1a6f 8ce3
1a70 8cda
1a71 8cfd
1a76 8d0a
1a77 8d07
1a78 8d0f
1a79 8d0d
1a7a 8d10
1a7b 9f4e
1a7c 8d13
1a7d 8ccd
1a7e 8d14
1a7f 8d16
1a80 8d67
1a81 8d6d
1a82 8d71
1a83 8d73
1a84 8d81
1a85 8d99
1a86 8dc2
1a87 8dbe
1a88 8dba
1a89 8dcf
1a8a 8dda
1a8b 8dd6
1a8c 8dcc
1a8d 8ddb
1a8e 8dcb
1a91 8ddf
1a92 8de3
1a93 8dfc
1a96 8dff
1a99 8e10
1a9a 8e1f
1a9b 8e42
1a9c 8e35
1a9d 8e30
1a9e 8e34
1a9f 8e4a
1aa0 8e47
1aa1 8e49
1aa2 8e4c
1aa3 8e50
1aa4 8e48
1aa5 8e59
1aa6 8e64
1aa7 8e60
1aa8 8e2a
1aa9 8e63
1aaa 8e55
1aab 8e76
1aac 8e72
1aad 8e7c
1aae 8e81
1aaf 8e87
1ab0 8e85
1ab1 8e84
1ab2 8e8b
1ab3 8e8a
1ab4 8e93
1ab5 8e91
1ab6 8e94
1ab7 8e99
1ab8 8eaa
1ab9 8ea1
1aba 8eac
1abb 8eb0
1abc 8ec6
1abd 8eb1
1abe 8ebe
1abf 8ec5
1ac0 8ec8
1ac1 8ecb
1ac2 8edb
1ac3 8ee3
1ac4 8efc
1ac5 8efb
1ac6 8eeb
1ac7 8efe
1ac8 8f0a
1ac9 8f05
1aca 8f15
1acb 8f12
1acc 8f19
1acd 8f13
1ace 8f1c
1acf 8f1f
1ad0 8f1b
1ad1 8f0c
1ad2 8f26
1ad3 8f33
1ad4 8f3b
1ad5 8f39
1ad6 8f45
1ad7 8f42
1ad8 8f3e
1ad9 8f4c
1ada 8f49
1adb 8f46
1adc 8f4e
1add 8f57
1ade 8f5c
1ae2 8f9c
1ae3 8f9f
1ae4 8fa3
1ae5 8fad
1ae6 8faf
1ae7 8fb7
1ae8 8fda
1ae9 8fe5
1aea 8fe2
1aeb 8fea
1aec 8fef
1aed 9087
1aee 8ff4
1aef 9005
1af2 9011
1af3 9015
1af4 9021
1af5 900d
1af6 901e
1af7 9016
1af8 900b
1af9 9027
1afa 9036
1afb 9035
1afc 9039
1afd 8ff8
1a18 1a19 8aa5
1a4a 1a4b 8b92
1a4d 1a4e 8b99
1a5f 1a60 8c8d
1a68 1a69 8cb2
1a72 1a73 8cfa
1a74 1a75 8d04
1a8f 1a90 8dea
1a94 1a95 8e08
1a97 1a98 8e1d
1adf 1ae1 8f62
1af0 1af1 8ff9
1afe 1aff 904f
