1f00 30e7
1f01 30ee
1f04 3349
1f05 3314
1f06 3322
1f07 334d
1f08 3318
1f09 3327
1f0a 3303
1f0b 3336
1f0c 3351
1f0d 3357
1f0e 330d
1f0f 3326
1f10 3323
1f11 332b
1f12 334a
1f13 333b
1f19 82a6
1f1a 8328
1f1b 5653
1f1c 53a9
1f1d 7259
1f1e 6c72
1f1f 7b08
1f20 9957
1f21 62f3
1f22 9910
1f23 976d
1f24 717d
1f25 7a7f
1f26 7bad
1f27 63c3
1f28 83df
1f29 7962
1f2a 53db
1f2b 7bc7
1f2c 8fc4
1f2d 7c3e
1f2e 50ca
1f2f 5315
1f30 55a9
1f31 56ae
1f32 5819
1f33 591b
1f34 5c28
1f35 5ed0
1f36 5ecf
1f37 6241
1f38 66c1
1f39 6c08
1f3a 6e23
1f3b 6eec
1f3c 7a97
1f3d 7bdd
1f3e 7fe9
1f3f 8422
1f40 8759
1f41 880e
1f42 87d2
1f43 9a19
1f44 9ead
1f45 ffe4
1f46 ff07
1f47 ff02
1f48 11a8
1f49 25c1
1f4a 25b7
1f4b 21e9
1f4c 21e7
1f4d 21e6
1f4e 21e8
1f4f 25a2
1f50 2667
1f51 2661
1f52 2664
1f53 2662
1f54 33a0
1f55 33a2
1f58 3397
1f59 2113
1f5a 3398
1f5b 33b3
1f5c 33b2
1f5d 33b1
1f5e 33b0
1f62 33cb
1f63 3390
1f64 33d4
1f65 3396
1f66 3322
1f67 3316
1f68 3318
1f69 3315
1f6a 3303
1f6b 3323
1f6c 3357
1f6d 3342
1f6e 3339
1f6f 333b
1f70 3300
1f71 3331
1f72 3347
1f73 331e
1f74 332a
1f75 33cd
1f76 337f
1f77 2121
1f78 260e
1f79 3036
1f7a 3020
1f7b 00a9
1f7c 00ae
1f7d 0030002e
1f9b 3251
1fca 3243
1fcb 323d
1fcc 323f
1fcd 3234
1fce 3238
1fcf 3233
1fd0 323c
1fd1 3242
1fd2 323e
1fd3 3236
1fd4 3235
1fd5 323b
1fd6 3240
1fd7 323a
1fd8 32b0
1fd9 32ad
1fda 32a9
1fdb 32af
1fdc 3294
1fdd 32aa
1fde 3298
1fdf 32ab
1fe0 3292
1fe1 3291
1fe2 3293
1fe3 32ac
1fe4 32ae
1fe5 3296
1fe6 23a9
1fe7 23a8
1fe8 23a7
1fe9 fe38
1fea 23ad
1feb 23ac
1fec 23ab
1fed fe38
1ff1 fe38
1ff5 fe38
1ff6 33cc
1ff7 3305
1ff8 00bd
1ff9 00bc
1ffa 339f
1ffb 33a3
1ffc 33a6
1ffd 007300650063
1ffe 006d0069006e
1fff 329e
1f02 1f03 30f5
1f14 1f15 301d
1f16 1f18 3094
1f56 1f57 33a4
1f5f 1f61 3385
1f7e 1f86 2488
1f87 1f9a 2474
1f9c 1fa5 2170
1fa6 1faf 3252
1fb0 1fc9 249c
1fee 1ff0 23ab
1ff2 1ff4 23a7
