1300 7f8e
1301 8587
1302 8b0e
1303 8ff7
1304 9761
1305 9ef4
1306 5cb7
1307 60b6
1308 610d
1309 61ab
130a 654f
130d 6c11
130e 6cef
130f 739f
1310 73c9
1311 7de1
1312 9594
1313 5bc6
1314 871c
1315 8b10
1316 525d
1317 535a
1318 62cd
1319 640f
131a 64b2
131b 6734
131c 6a38
131d 6cca
131e 73c0
131f 749e
1320 7b94
1321 7c95
1322 7e1b
1323 818a
1324 8236
1325 8584
1326 8feb
1327 96f9
1328 99c1
1329 4f34
132a 534a
132b 53cd
132c 53db
132d 62cc
132e 642c
132f 6500
1330 6591
1331 69c3
1332 6cee
1333 6f58
1334 73ed
1335 7554
1336 7622
1337 76e4
1338 76fc
1339 78d0
133a 78fb
133b 792c
133c 7d46
133d 822c
133e 87e0
133f 8fd4
1340 9812
1341 98ef
1342 52c3
1343 62d4
1344 64a5
1345 6e24
1346 6f51
1347 767c
1348 8dcb
1349 91b1
134a 9262
134b 9aee
134c 9b43
134d 5023
134e 508d
134f 574a
1350 59a8
1351 5c28
1352 5e47
1353 5f77
1354 623f
1355 653e
1356 65b9
1357 65c1
1358 6609
1359 678b
135a 699c
135b 6ec2
135c 78c5
135d 7d21
135e 80aa
135f 8180
1360 822b
1361 82b3
1362 84a1
1363 868c
1364 8a2a
1365 8b17
1366 90a6
1367 9632
1368 9f90
1369 500d
136a 4ff3
136b 57f9
136c 5f98
136d 62dc
136e 6392
136f 676f
1370 6e43
1371 7119
1372 76c3
1373 80cc
1374 80da
1377 8919
1378 8ce0
1379 8f29
137a 914d
137b 966a
137c 4f2f
137d 4f70
137e 5e1b
137f 67cf
1380 6822
1383 9b44
1384 5e61
1385 6a0a
1386 7169
1387 71d4
1388 756a
1389 7e41
138a 8543
138b 85e9
138c 98dc
138d 4f10
138e 7b4f
138f 7f70
1390 95a5
1391 51e1
1392 5e06
1393 68b5
1394 6c3e
1395 6c4e
1396 6cdb
1397 72af
1398 7bc4
1399 8303
139a 6cd5
139b 743a
139c 50fb
139d 5288
139e 58c1
139f 64d8
13a0 6a97
13a1 74a7
13a2 7656
13a3 78a7
13a4 8617
13a5 95e2
13a6 9739
13a7 535e
13a8 5f01
13a9 8b8a
13aa 8fa8
13ab 8faf
13ac 908a
13ad 5225
13ae 77a5
13af 9c49
13b0 9f08
13b1 4e19
13b2 5002
13b3 5175
13b4 5c5b
13b5 5e77
13b6 661e
13b7 663a
13b8 67c4
13b9 68c5
13ba 70b3
13bb 7501
13bc 75c5
13bd 79c9
13be 7add
13bf 8f27
13c0 9920
13c1 9a08
13c2 4fdd
13c3 5821
13c4 5831
13c5 5bf6
13c6 666e
13c7 6b65
13c8 6d11
13c9 6e7a
13ca 6f7d
13cb 73e4
13cc 752b
13cd 83e9
13ce 88dc
13cf 8913
13d0 8b5c
13d1 8f14
13d2 4f0f
13d3 50d5
13d4 5310
13d5 535c
13d6 5b93
13d7 5fa9
13d8 670d
13d9 798f
13da 8179
13db 832f
13dc 8514
13dd 8907
13de 8986
13df 8f39
13e0 8f3b
13e1 99a5
13e2 9c12
13e3 672c
13e4 4e76
13e5 4ff8
13e6 5949
13e7 5c01
13ea 6367
13eb 68d2
13ec 70fd
13ed 71a2
13ee 742b
13ef 7e2b
13f0 84ec
13f1 8702
13f2 9022
13f3 92d2
13f4 9cf3
13f5 4e0d
13f6 4ed8
13f7 4fef
13f8 5085
13f9 5256
13fa 526f
13fb 5426
13fc 5490
13fd 57e0
13fe 592b
13ff 5a66
130b 130c 65fb
1375 1376 88f4
1381 1382 767d
13e8 13e9 5cef
