1800 5996
1801 59da
1802 5be5
1803 5da2
1804 62d7
1805 6416
1806 6493
1807 64fe
1808 66dc
1809 6a48
180a 71ff
180b 7464
180c 7a88
180d 7aaf
180e 7e47
180f 7e5e
1810 8000
1811 8170
1812 87ef
1813 8981
1814 8b20
1815 9059
1816 9080
1817 9952
1818 617e
1819 6b32
181a 6d74
181b 7e1f
181c 8925
181d 8fb1
181e 4fd1
181f 50ad
1820 5197
1821 52c7
1822 57c7
1823 5889
1824 5bb9
1825 5eb8
1826 6142
1827 6995
1828 6d8c
1829 6e67
182a 6eb6
182b 7194
182c 7462
182d 7528
182e 752c
182f 8073
1830 8338
1831 84c9
1832 8e0a
1833 9394
1834 93de
1835 4e8e
1836 4f51
1837 5076
1838 512a
1839 53c8
183a 53cb
183b 53f3
183c 5b87
183d 5bd3
183e 5c24
183f 611a
1840 6182
1841 65f4
1842 725b
1843 7397
1844 7440
1845 76c2
1846 7950
1847 7991
1848 79b9
1849 7d06
184a 7fbd
184b 828b
184c 85d5
184d 865e
184e 8fc2
184f 9047
1850 90f5
1851 91ea
1852 9685
1855 52d6
1856 5f67
1857 65ed
1858 6631
1859 682f
185a 715c
185b 7a36
185c 90c1
185d 980a
185e 4e91
185f 6a52
1860 6b9e
1861 6f90
1862 7189
1863 8018
1864 82b8
1865 8553
1866 904b
1867 9695
1868 96f2
1869 97fb
186a 851a
186b 9b31
186c 4e90
186d 718a
186e 96c4
186f 5143
1870 539f
1871 54e1
1872 5713
1873 5712
1874 57a3
1875 5a9b
1876 5ac4
1877 5bc3
1878 6028
1879 613f
187a 63f4
187b 6c85
187c 6d39
187d 6e72
187e 6e90
187f 7230
1880 733f
1881 7457
1882 82d1
1883 8881
1884 8f45
1885 9060
1886 9662
1887 9858
1888 9d1b
1889 6708
188a 8d8a
188b 925e
188c 4f4d
188d 5049
188e 50de
188f 5371
1890 570d
1891 59d4
1892 5a01
1893 5c09
1894 6170
1895 6690
1896 6e2d
1897 7232
1898 744b
1899 7def
189a 80c3
189b 840e
189c 8466
189d 853f
189e 875f
189f 885b
18a0 8918
18a1 8b02
18a2 9055
18a3 97cb
18a4 9b4f
18a5 4e73
18a6 4f91
18a7 5112
18a8 516a
18a9 552f
18aa 55a9
18ab 5b7a
18ac 5ba5
18af 5ebe
18b0 60a0
18b1 60df
18b4 63c4
18b5 6538
18b6 6709
18b7 67d4
18b8 67da
18bb 6cb9
18bc 6d27
18bd 6e38
18be 6fe1
18c1 745c
18c2 7531
18c3 7652
18c4 7dad
18c5 81fe
18c6 8438
18c7 88d5
18c8 8a98
18c9 8adb
18ca 8aed
18cb 8e30
18cc 8e42
18cd 904a
18ce 903e
18cf 907a
18d0 9149
18d1 91c9
18d2 936e
18d3 5809
18d4 6bd3
18d5 8089
18d6 80b2
18d7 5141
18d8 596b
18d9 5c39
18da 6f64
18db 73a7
18dc 80e4
18dd 8d07
18de 9217
18df 958f
18e0 807f
18e1 620e
18e2 701c
18e3 7d68
18e4 878d
18e5 57a0
18e6 6069
18e7 6147
18e8 6bb7
18e9 8abe
18ea 9280
18eb 96b1
18ec 4e59
18ed 541f
18ee 6deb
18ef 852d
18f0 9670
18f1 97f3
18f2 98ee
18f3 63d6
18f4 6ce3
18f5 9091
18f6 51dd
18f7 61c9
18f8 81ba
18f9 9df9
18fa 4f9d
18fb 501a
18fc 5100
18fd 5b9c
18fe 610f
18ff 61ff
1853 1854 96e8
18ad 18ae 5e7c
18b2 18b3 6108
18b9 18ba 6961
18bf 18c0 7336
