1900 4f4c
1901 4f97
1902 4f6a
1903 4f9a
1904 4f79
1905 4f81
1906 4f78
1907 4f90
1908 4f9c
1909 4f94
190a 4f9e
190b 4f92
190c 4f82
190d 4f95
190e 4f6b
190f 4f6e
1910 519e
1911 51bc
1912 51be
1913 5235
1916 5246
1917 5231
1918 52bc
191b 533c
191c 5392
191d 5394
191e 5487
191f 547f
1920 5481
1921 5491
1922 5482
1923 5488
1924 546b
1925 547a
1926 547e
1927 5465
1928 546c
1929 5474
192a 5466
192b 548d
192c 546f
192d 5461
192e 5460
192f 5498
1930 5463
1931 5467
1932 5464
1933 56f7
1934 56f9
1935 576f
1936 5772
1937 576d
1938 576b
1939 5771
193a 5770
193b 5776
193c 5780
193d 5775
193e 577b
1941 5762
1942 5768
1943 577d
1944 590c
1945 5945
1946 59b5
1947 59ba
1948 59cf
1949 59ce
194a 59b2
194b 59cc
194c 59c1
194d 59b6
194e 59bc
194f 59c3
1950 59d6
1951 59b1
1952 59bd
1953 59c0
1954 59c8
1955 59b4
1956 59c7
1957 5b62
1958 5b65
1959 5b93
195a 5b95
195b 5c44
195c 5c47
195d 5cae
195e 5ca4
195f 5ca0
1960 5cb5
1961 5caf
1962 5ca8
1963 5cac
1964 5c9f
1965 5ca3
1966 5cad
1967 5ca2
1968 5caa
1969 5ca7
196a 5c9d
196b 5ca5
196c 5cb6
196d 5cb0
196e 5ca6
196f 5e17
1970 5e14
1971 5e19
1972 5f28
1976 5f54
1977 5f82
1978 5f7e
1979 5f7d
197a 5fde
197b 5fe5
197c 602d
197d 6026
197e 6019
197f 6032
1980 600b
1981 6034
1982 600a
1983 6017
1984 6033
1985 601a
1986 601e
1987 602c
1988 6022
1989 600d
198a 6010
198b 602e
198c 6013
198d 6011
198e 600c
198f 6009
1990 601c
1991 6214
1992 623d
1993 62ad
1994 62b4
1995 62d1
1996 62be
1997 62aa
1998 62b6
1999 62ca
199a 62ae
199b 62b3
199c 62af
199d 62bb
199e 62a9
199f 62b0
19a0 62b8
19a1 653d
19a2 65a8
19a3 65bb
19a4 6609
19a5 65fc
19a6 6604
19a7 6612
19a8 6608
19a9 65fb
19aa 6603
19ab 660b
19ac 660d
19ad 6605
19ae 65fd
19af 6611
19b0 6610
19b1 66f6
19b2 670a
19b3 6785
19b4 676c
19b5 678e
19b6 6792
19b7 6776
19b8 677b
19b9 6798
19ba 6786
19bb 6784
19bc 6774
19bd 678d
19be 678c
19bf 677a
19c0 679f
19c1 6791
19c2 6799
19c3 6783
19c4 677d
19c5 6781
19c8 6794
19c9 6b25
19ca 6b80
19cb 6b7e
19cc 6bde
19cd 6c1d
19ce 6c93
19cf 6cec
19d0 6ceb
19d1 6cee
19d2 6cd9
19d3 6cb6
19d4 6cd4
19d5 6cad
19d6 6ce7
19d7 6cb7
19d8 6cd0
19d9 6cc2
19da 6cba
19db 6cc3
19dc 6cc6
19dd 6ced
19de 6cf2
19df 6cd2
19e0 6cdd
19e1 6cb4
19e2 6c8a
19e3 6c9d
19e4 6c80
19e5 6cde
19e6 6cc0
19e7 6d30
19e8 6ccd
19e9 6cc7
19ea 6cb0
19eb 6cf9
19ec 6ccf
19ed 6ce9
19ee 6cd1
19ef 7094
19f0 7098
19f1 7085
19f2 7093
19f3 7086
19f4 7084
19f5 7091
19f6 7096
19f7 7082
19f8 709a
19f9 7083
19fa 726a
19fb 72d6
19fc 72cb
19fd 72d8
19fe 72c9
19ff 72dc
1914 1915 5232
1919 191a 530a
193f 1940 5773
1973 1975 5f22
19c6 19c7 6778
