1b00 62f0
1b01 6541
1b02 6543
1b03 65aa
1b04 65bf
1b05 6636
1b06 6621
1b07 6632
1b08 6635
1b09 661c
1b0a 6626
1b0b 6622
1b0c 6633
1b0d 662b
1b0e 663a
1b0f 661d
1b10 6634
1b11 6639
1b12 662e
1b15 67c1
1b16 67f2
1b17 67c8
1b18 67ba
1b19 67dc
1b1a 67bb
1b1b 67f8
1b1c 67d8
1b1d 67c0
1b1e 67b7
1b1f 67c5
1b20 67eb
1b21 67e4
1b22 67df
1b23 67b5
1b24 67cd
1b25 67b3
1b26 67f7
1b27 67f6
1b28 67ee
1b29 67e3
1b2a 67c2
1b2b 67b9
1b2c 67ce
1b2d 67e7
1b2e 67f0
1b2f 67b2
1b30 67fc
1b31 67c6
1b32 67ed
1b33 67cc
1b34 67ae
1b35 67e6
1b36 67db
1b37 67fa
1b3a 67c3
1b3b 67ea
1b3c 67cb
1b3d 6b28
1b3e 6b82
1b3f 6b84
1b40 6bb6
1b41 6bd6
1b42 6bd8
1b43 6be0
1b46 6d28
1b47 6d34
1b48 6d2d
1b49 6d1f
1b4a 6d3c
1b4b 6d3f
1b4c 6d12
1b4d 6d0a
1b4e 6cda
1b4f 6d33
1b50 6d04
1b51 6d19
1b52 6d3a
1b53 6d1a
1b54 6d11
1b55 6d00
1b56 6d1d
1b57 6d42
1b58 6d01
1b59 6d18
1b5a 6d37
1b5b 6d03
1b5c 6d0f
1b5d 6d40
1b5e 6d07
1b5f 6d20
1b60 6d2c
1b61 6d08
1b62 6d22
1b63 6d09
1b64 6d10
1b65 70b7
1b66 709f
1b67 70be
1b68 70b1
1b69 70b0
1b6a 70a1
1b6d 70a9
1b6e 7241
1b71 726c
1b72 7270
1b73 7273
1b74 726e
1b75 72ca
1b76 72e4
1b77 72e8
1b78 72eb
1b79 72df
1b7a 72ea
1b7b 72e6
1b7c 72e3
1b7d 7385
1b7e 73cc
1b7f 73c2
1b80 73c8
1b81 73c5
1b82 73b9
1b83 73b6
1b84 73b5
1b85 73b4
1b86 73eb
1b87 73bf
1b88 73c7
1b89 73be
1b8a 73c3
1b8b 73c6
1b8c 73b8
1b8d 73cb
1b8e 74ec
1b8f 74ee
1b90 752e
1b93 75a7
1b94 75aa
1b95 7679
1b96 76c4
1b97 7708
1b9b 770a
1b9c 76f7
1b9d 76fb
1b9e 76fa
1ba1 7806
1ba4 7805
1ba5 7810
1ba6 780f
1ba7 780e
1ba8 7809
1ba9 7803
1baa 7813
1bab 794a
1bac 794c
1bad 794b
1bae 7945
1baf 7944
1bb0 79d5
1bb1 79cd
1bb2 79cf
1bb3 79d6
1bb4 79ce
1bb5 7a80
1bb6 7a7e
1bb7 7ad1
1bba 7c7a
1bc0 7d03
1bc1 7d08
1bc2 7d01
1bc3 7f58
1bc4 7f91
1bc5 7f8d
1bc6 7fbe
1bc7 8007
1bca 8014
1bcb 8037
1bcc 80d8
1bcd 80c7
1bce 80e0
1bcf 80d1
1bd0 80c8
1bd1 80c2
1bd2 80d0
1bd3 80c5
1bd4 80e3
1bd5 80d9
1bd6 80dc
1bd7 80ca
1bd8 80d5
1bd9 80c9
1bda 80cf
1bdb 80d7
1bdc 80e6
1bdd 80cd
1bde 81ff
1bdf 8221
1be0 8294
1be1 82d9
1be2 82fe
1be3 82f9
1be4 8307
1be5 82e8
1be6 8300
1be7 82d5
1be8 833a
1be9 82eb
1bea 82d6
1beb 82f4
1bec 82ec
1bed 82e1
1bee 82f2
1bef 82f5
1bf0 830c
1bf1 82fb
1bf2 82f6
1bf3 82f0
1bf4 82ea
1bf5 82e4
1bf6 82e0
1bf7 82fa
1bf8 82f3
1bf9 82ed
1bfa 8677
1bfb 8674
1bfc 867c
1bfd 8673
1bfe 8841
1bff 884e
1b13 1b14 670f
1b38 1b39 67c9
1b44 1b45 6c20
1b6b 1b6c 70b4
1b6f 1b70 7249
1b91 1b92 7547
1b98 1b9a 7703
1b9f 1ba0 77e7
1ba2 1ba3 7811
1bb8 1bb9 7b00
1bbb 1bbc 7c78
1bbd 1bbf 7c7f
1bc8 1bc9 800e
