0800>  <6d51
0801>  <6df7
0802>  <8c41
0803>  <6d3b
0804>  <4f19
0805>  <706b
0806>  <83b7
0807>  <6216
0808>  <60d1
0809>  <970d
080a>  <8d27
080b>  <7978
080c>  <51fb
080d>  <573e
080e>  <57fa
080f>  <673a
0810>  <7578
0811>  <7a3d
0812>  <79ef
0813>  <7b95
0814>  <808c
0815>  <9965
0816>  <8ff9
0817>  <6fc0
0818>  <8ba5
0819>  <9e21
081a>  <59ec
081b>  <7ee9
081c>  <7f09
081d>  <5409
081e>  <6781
081f>  <68d8
0820>  <8f91
0821>  <7c4d
0822>  <96c6
0823>  <53ca
0824>  <6025
0825>  <75be
0826>  <6c72
0827>  <5373
0828>  <5ac9
0829>  <7ea7
082a>  <6324
082b>  <51e0
082c>  <810a
082d>  <5df1
082e>  <84df
082f>  <6280
0830>  <5180
0831>  <5b63
0832>  <4f0e
0833>  <796d
0834>  <5242
0835>  <60b8
0836>  <6d4e
0837>  <5bc4
0838>  <5bc2
0839>  <8ba1
083a>  <8bb0
083b>  <65e2
083c>  <5fcc
083d>  <9645
083e>  <5993
083f>  <7ee7
0840>  <7eaa
0841>  <5609
0842>  <67b7
0843>  <5939
0844>  <4f73
0845>  <5bb6
0846>  <52a0
0847>  <835a
0848>  <988a
0849>  <8d3e
084a>  <7532
084b>  <94be
084c>  <5047
084d>  <7a3c
084e>  <4ef7
084f>  <67b6
0850>  <9a7e
0851>  <5ac1
0852>  <6b7c
0853>  <76d1
0854>  <575a
0855>  <5c16
0856>  <7b3a
0857>  <95f4
0858>  <714e
0859>  <517c
085a>  <80a9
085b>  <8270
085c>  <5978
085d>  <7f04
085e>  <8327
085f>  <68c0
0860>  <67ec
0861>  <78b1
0862>  <7877
0863>  <62e3
0864>  <6361
0865>  <7b80
0866>  <4fed
0867>  <526a
0868>  <51cf
0869>  <8350
086a>  <69db
086b>  <9274
086c>  <8df5
086d>  <8d31
086e>  <89c1
086f>  <952e
0870>  <7bad
0871>  <4ef6
0872>  <5065
0873>  <8230
0874>  <5251
0875>  <996f
0876>  <6e10
0877>  <6e85
0878>  <6da7
0879>  <5efa
087a>  <50f5
087b>  <59dc
087c>  <5c06
087d>  <6d46
087e>  <6c5f
087f>  <7586
0880>  <848b
0881>  <6868
0882>  <5956
0883>  <8bb2
0884>  <5320
0885>  <9171
0886>  <964d
0887>  <8549
0888>  <6912
0889>  <7901
088a>  <7126
088b>  <80f6
088c>  <4ea4
088d>  <90ca
088e>  <6d47
088f>  <9a84
0890>  <5a07
0891>  <56bc
0892>  <6405
0893>  <94f0
0894>  <77eb
0895>  <4fa5
0896>  <811a
0897>  <72e1
0898>  <89d2
0899>  <997a
089a>  <7f34
089b>  <7ede
089c>  <527f
089d>  <6559
089e>  <9175
089f>  <8f7f
08a0>  <8f83
08a1>  <53eb
08a2>  <7a96
08a3>  <63ed
08a4>  <63a5
08a5>  <7686
08a6>  <79f8
08a7>  <8857
08a8>  <9636
08a9>  <622a
08aa>  <52ab
08ab>  <8282
08ac>  <6854
08ad>  <6770
08ae>  <6377
08af>  <776b
08b0>  <7aed
08b1>  <6d01
08b2>  <7ed3
08b3>  <89e3
08b4>  <59d0
08b5>  <6212
08b6>  <85c9
08b7>  <82a5
08b8>  <754c
08b9>  <501f
08ba>  <4ecb
08bb>  <75a5
08bc>  <8beb
08bd>  <5c4a
08be>  <5dfe
08bf>  <7b4b
08c0>  <65a4
08c1>  <91d1
08c2>  <4eca
08c3>  <6d25
08c4>  <895f
08c5>  <7d27
08c6>  <9526
08c7>  <4ec5
08c8>  <8c28
08c9>  <8fdb
08ca>  <9773
08cb>  <664b
08cc>  <7981
08cd>  <8fd1
08ce>  <70ec
08cf>  <6d78
08d0>  <5c3d
08d1>  <52b2
08d2>  <8346
08d3>  <5162
08d4>  <830e
08d5>  <775b
08d6>  <6676
08d7>  <9cb8
08d8>  <4eac
08d9>  <60ca
08da>  <7cbe
08db>  <7cb3
08dc>  <7ecf
08dd>  <4e95
08de>  <8b66
08df>  <666f
08e0>  <9888
08e1>  <9759
08e2>  <5883
08e3>  <656c
08e4>  <955c
08e5>  <5f84
08e6>  <75c9
08e7>  <9756
08e8>  <7adf
08e9>  <7ade
08ea>  <51c0
08eb>  <70af
08ec>  <7a98
08ed>  <63ea
08ee>  <7a76
08ef>  <7ea0
08f0>  <7396
08f1>  <97ed
08f2>  <4e45
08f3>  <7078
08f4>  <4e5d
08f5>  <9152
08f6>  <53a9
08f7>  <6551
08f8>  <65e7
08f9>  <81fc
08fa>  <8205
08fb>  <548e
08fc>  <5c31
08fd>  <759a
08fe>  <97a0
08ff>  <62d8
