0b00>  <540d
0b01>  <547d
0b02>  <8c2c
0b05>  <8611
0b06>  <6a21
0b07>  <819c
0b08>  <78e8
0b09>  <6469
0b0a>  <9b54
0b0b>  <62b9
0b0c>  <672b
0b0d>  <83ab
0b0e>  <58a8
0b0f>  <9ed8
0b10>  <6cab
0b11>  <6f20
0b12>  <5bde
0b13>  <964c
0b14>  <8c0b
0b15>  <725f
0b16>  <67d0
0b17>  <62c7
0b18>  <7261
0b19>  <4ea9
0b1a>  <59c6
0b1b>  <6bcd
0b1c>  <5893
0b1d>  <66ae
0b1e>  <5e55
0b1f>  <52df
0b20>  <6155
0b21>  <6728
0b22>  <76ee
0b23>  <7766
0b24>  <7267
0b25>  <7a46
0b26>  <62ff
0b27>  <54ea
0b28>  <5450
0b29>  <94a0
0b2a>  <90a3
0b2b>  <5a1c
0b2c>  <7eb3
0b2d>  <6c16
0b2e>  <4e43
0b2f>  <5976
0b30>  <8010
0b31>  <5948
0b32>  <5357
0b33>  <7537
0b34>  <96be
0b35>  <56ca
0b36>  <6320
0b37>  <8111
0b38>  <607c
0b39>  <95f9
0b3a>  <6dd6
0b3b>  <5462
0b3c>  <9981
0b3d>  <5185
0b3e>  <5ae9
0b3f>  <80fd
0b40>  <59ae
0b41>  <9713
0b42>  <502a
0b43>  <6ce5
0b44>  <5c3c
0b45>  <62df
0b46>  <4f60
0b47>  <533f
0b48>  <817b
0b49>  <9006
0b4a>  <6eba
0b4b>  <852b
0b4c>  <62c8
0b4d>  <5e74
0b4e>  <78be
0b4f>  <64b5
0b50>  <637b
0b51>  <5ff5
0b52>  <5a18
0b53>  <917f
0b54>  <9e1f
0b55>  <5c3f
0b56>  <634f
0b57>  <8042
0b58>  <5b7d
0b59>  <556e
0b5a>  <954a
0b5b>  <954d
0b5c>  <6d85
0b5d>  <60a8
0b5e>  <67e0
0b5f>  <72de
0b60>  <51dd
0b61>  <5b81
0b62>  <62e7
0b63>  <6cde
0b64>  <725b
0b65>  <626d
0b66>  <94ae
0b67>  <7ebd
0b68>  <8113
0b69>  <6d53
0b6a>  <519c
0b6b>  <5f04
0b6c>  <5974
0b6d>  <52aa
0b6e>  <6012
0b6f>  <5973
0b70>  <6696
0b71>  <8650
0b72>  <759f
0b73>  <632a
0b74>  <61e6
0b75>  <7cef
0b76>  <8bfa
0b77>  <54e6
0b78>  <6b27
0b79>  <9e25
0b7a>  <6bb4
0b7b>  <85d5
0b7c>  <5455
0b7d>  <5076
0b7e>  <6ca4
0b7f>  <556a
0b80>  <8db4
0b81>  <722c
0b82>  <5e15
0b83>  <6015
0b84>  <7436
0b85>  <62cd
0b86>  <6392
0b87>  <724c
0b88>  <5f98
0b89>  <6e43
0b8a>  <6d3e
0b8b>  <6500
0b8c>  <6f58
0b8d>  <76d8
0b8e>  <78d0
0b8f>  <76fc
0b90>  <7554
0b91>  <5224
0b92>  <53db
0b93>  <4e53
0b94>  <5e9e
0b95>  <65c1
0b96>  <802a
0b97>  <80d6
0b98>  <629b
0b99>  <5486
0b9a>  <5228
0b9b>  <70ae
0b9c>  <888d
0b9d>  <8dd1
0b9e>  <6ce1
0b9f>  <5478
0ba0>  <80da
0ba1>  <57f9
0ba2>  <88f4
0ba3>  <8d54
0ba4>  <966a
0ba5>  <914d
0ba6>  <4f69
0ba7>  <6c9b
0ba8>  <55b7
0ba9>  <76c6
0baa>  <7830
0bab>  <62a8
0bac>  <70f9
0bad>  <6f8e
0bae>  <5f6d
0baf>  <84ec
0bb0>  <68da
0bb1>  <787c
0bb2>  <7bf7
0bb3>  <81a8
0bb4>  <670b
0bb5>  <9e4f
0bb6>  <6367
0bb7>  <78b0
0bb8>  <576f
0bb9>  <7812
0bba>  <9739
0bbb>  <6279
0bbc>  <62ab
0bbd>  <5288
0bbe>  <7435
0bbf>  <6bd7
0bc0>  <5564
0bc1>  <813e
0bc2>  <75b2
0bc3>  <76ae
0bc4>  <5339
0bc5>  <75de
0bc6>  <50fb
0bc7>  <5c41
0bc8>  <8b6c
0bc9>  <7bc7
0bca>  <504f
0bcb>  <7247
0bcc>  <9a97
0bcd>  <98d8
0bce>  <6f02
0bcf>  <74e2
0bd0>  <7968
0bd1>  <6487
0bd2>  <77a5
0bd3>  <62fc
0bd4>  <9891
0bd5>  <8d2b
0bd6>  <54c1
0bd7>  <8058
0bd8>  <4e52
0bd9>  <576a
0bda>  <82f9
0bdb>  <840d
0bdc>  <5e73
0bdd>  <51ed
0bde>  <74f6
0bdf>  <8bc4
0be0>  <5c4f
0be1>  <5761
0be2>  <6cfc
0be3>  <9887
0be4>  <5a46
0be5>  <7834
0be6>  <9b44
0be7>  <8feb
0be8>  <7c95
0be9>  <5256
0bea>  <6251
0beb>  <94fa
0bec>  <4ec6
0bed>  <8386
0bee>  <8461
0bef>  <83e9
0bf0>  <84b2
0bf1>  <57d4
0bf2>  <6734
0bf3>  <5703
0bf4>  <666e
0bf5>  <6d66
0bf6>  <8c31
0bf7>  <66dd
0bf8>  <7011
0bf9>  <671f
0bfa>  <6b3a
0bfb>  <6816
0bfc>  <621a
0bfd>  <59bb
0bfe>  <4e03
0bff>  <51c4
0b03 0b04 6478
