1300>  <51eb
1301>  <5919
1302>  <5155
1303>  <4ea0
1304>  <5156
1305>  <4eb3
1306>  <886e
1307>  <88a4
1308>  <4eb5
1309>  <8114
130a>  <88d2
130b>  <7980
130c>  <5b34
130d>  <8803
130e>  <7fb8
130f>  <51ab
1310>  <51b1
1311>  <51bd
1312>  <51bc
1313>  <51c7
1314>  <5196
1315>  <51a2
1316>  <51a5
1317>  <8ba0
131a>  <8baa
131d>  <8bb7
1320>  <8bcb
1321>  <8bcf
1322>  <8bce
1326>  <8bd6
1329>  <8bdc
132c>  <8be4
132f>  <8bee
1330>  <8bf0
1331>  <8bf3
1332>  <8bf6
1333>  <8bf9
1334>  <8bfc
1337>  <8c02
1338>  <8c04
1339>  <8c07
133a>  <8c0c
133b>  <8c0f
1341>  <8c19
1342>  <8c1b
1343>  <8c18
1344>  <8c1d
1348>  <8c25
1349>  <8c27
1352>  <5369
1353>  <537a
1354>  <961d
1355>  <9622
1356>  <9621
1357>  <9631
1358>  <962a
1359>  <963d
135a>  <963c
135b>  <9642
135c>  <9649
135d>  <9654
135e>  <965f
135f>  <9667
1360>  <966c
1361>  <9672
1362>  <9674
1363>  <9688
1364>  <968d
1365>  <9697
1366>  <96b0
1367>  <9097
1368>  <909b
1369>  <909d
136a>  <9099
136b>  <90ac
136c>  <90a1
136d>  <90b4
136e>  <90b3
136f>  <90b6
1370>  <90ba
1371>  <90b8
1372>  <90b0
1373>  <90cf
1374>  <90c5
1375>  <90be
1376>  <90d0
1377>  <90c4
1378>  <90c7
1379>  <90d3
137a>  <90e6
137b>  <90e2
137c>  <90dc
137d>  <90d7
137e>  <90db
137f>  <90eb
1380>  <90ef
1381>  <90fe
1382>  <9104
1383>  <9122
1384>  <911e
1385>  <9123
1386>  <9131
1387>  <912f
1388>  <9139
1389>  <9143
138a>  <9146
138b>  <520d
138c>  <5942
138d>  <52a2
1390>  <52be
1391>  <54ff
1392>  <52d0
1393>  <52d6
1394>  <52f0
1395>  <53df
1396>  <71ee
1397>  <77cd
1398>  <5ef4
1399>  <51f5
139a>  <51fc
139b>  <9b2f
139c>  <53b6
139d>  <5f01
139e>  <755a
139f>  <5def
13a0>  <574c
13a1>  <57a9
13a2>  <57a1
13a3>  <587e
13a4>  <58bc
13a5>  <58c5
13a6>  <58d1
13a7>  <5729
13a8>  <572c
13a9>  <572a
13aa>  <5733
13ab>  <5739
13ae>  <575c
13af>  <573b
13b0>  <5742
13b1>  <5769
13b2>  <5785
13b3>  <576b
13b4>  <5786
13b5>  <577c
13b6>  <577b
13b7>  <5768
13b8>  <576d
13b9>  <5776
13ba>  <5773
13bb>  <57ad
13bc>  <57a4
13bd>  <578c
13be>  <57b2
13bf>  <57cf
13c0>  <57a7
13c1>  <57b4
13c2>  <5793
13c3>  <57a0
13c4>  <57d5
13c5>  <57d8
13c6>  <57da
13c7>  <57d9
13c8>  <57d2
13c9>  <57b8
13ca>  <57f4
13cb>  <57ef
13cc>  <57f8
13cd>  <57e4
13ce>  <57dd
13cf>  <580b
13d0>  <580d
13d1>  <57fd
13d2>  <57ed
13d3>  <5800
13d4>  <581e
13d5>  <5819
13d6>  <5844
13d7>  <5820
13d8>  <5865
13d9>  <586c
13da>  <5881
13db>  <5889
13dc>  <589a
13dd>  <5880
13de>  <99a8
13df>  <9f19
13e0>  <61ff
13e1>  <8279
13e2>  <827d
13e3>  <827f
13e4>  <828f
13e5>  <828a
13e6>  <82a8
13e7>  <8284
13e8>  <828e
13e9>  <8291
13ea>  <8297
13eb>  <8299
13ec>  <82ab
13ed>  <82b8
13ee>  <82be
13ef>  <82b0
13f0>  <82c8
13f1>  <82ca
13f2>  <82e3
13f3>  <8298
13f4>  <82b7
13f5>  <82ae
13f8>  <82c1
13f9>  <82a9
13fa>  <82b4
13fb>  <82a1
13fc>  <82aa
13fd>  <829f
13fe>  <82c4
13ff>  <82ce
1318 1319 8ba6
131b 131c 8bb4
131e 131f 8bc2
1323 1325 8bd2
1327 1328 8bd8
132a 132b 8bdf
132d 132e 8be8
1335 1336 8bff
133c 133d 8c11
133e 1340 8c14
1345 1347 8c1f
134a 134b 8c2a
134c 134d 8c2e
134e 134f 8c32
1350 1351 8c35
138e 138f 52ac
13ac 13ad 572e
13f6 13f7 82cb
