2000>  <721b
2001>  <6feb
2002>  <6488
2003>  <52de
2004>  <6f87
2005>  <6a02
2006>  <9433
2007>  <58d8
2008>  <985e
2009>  <7c6c
200a>  <96e2
200b>  <7055
200c>  <88cf
200d>  <9bc9
200e>  <79ae
200f>  <9e97
2010>  <53b2
2011>  <52f5
2012>  <792b
2013>  <6b77
2014>  <701d
2015>  <96b8
2016>  <5006
2017>  <806f
2018>  <84ee
2019>  <9023
201a>  <942e
201b>  <6190
201c>  <6f23
201d>  <7c3e
201e>  <6582
201f>  <81c9
2020>  <93c8
2021>  <6200
2022>  <7149
2023>  <7df4
2024>  <7ce7
2025>  <5169
2026>  <8f1b
2027>  <8ad2
2028>  <7642
2029>  <907c
202a>  <9410
202b>  <7375
202c>  <81e8
202d>  <9130
202e>  <9c57
202f>  <8cc3
2030>  <9f61
2031>  <9234
2032>  <9748
2033>  <5dba
2034>  <9818
2035>  <993e
2036>  <5289
2037>  <9f8d
2038>  <807e
2039>  <56a8
203a>  <7c60
203b>  <58df
203c>  <650f
203d>  <96b4
203e>  <6a13
203f>  <5a41
2040>  <645f
2041>  <7c0d
2042>  <8606
2043>  <76e7
2044>  <9871
2045>  <5eec
2046>  <7210
2047>  <64c4
2048>  <6ef7
2049>  <865c
204a>  <9b6f
204b>  <8cc2
204c>  <9332
204d>  <9678
204e>  <9a62
204f>  <92c1
2050>  <5c62
2051>  <7e37
2052>  <616e
2053>  <6ffe
2054>  <7dd1
2055>  <5dd2
2056>  <6523
2057>  <5b7f
2058>  <7064
2059>  <4e82
205a>  <6384
205b>  <8f2a
205c>  <502b
205d>  <4f96
205e>  <6dea
205f>  <7db8
2060>  <8ad6
2061>  <863f
2062>  <7f85
2063>  <908f
2064>  <947c
2065>  <7c6e
2066>  <9a3e
2067>  <99f1
2068>  <7d61
2069>  <5abd
206a>  <746a
206b>  <78bc
206c>  <879e
206d>  <99ac
206e>  <99e1
206f>  <55ce
2070>  <8cb7
2071>  <9ea5
2072>  <8ce3
2073>  <9081
2074>  <779e
2075>  <9945
2076>  <883b
2077>  <6eff
2078>  <8b3e
2079>  <9328
207a>  <925a
207b>  <8cbf
207c>  <9382
207d>  <9580
207e>  <60b6
207f>  <5011
2080>  <9333
2081>  <5922
2082>  <8b0e
2083>  <5f4c
2084>  <8993
2085>  <7dbf
2086>  <7dec
2087>  <5edf
2088>  <6ec5
2089>  <61ab
208a>  <95a9
208b>  <9cf4
208c>  <9298
208d>  <8b2c
208e>  <8b00
208f>  <755d
2090>  <9209
2091>  <7d0d
2092>  <96e3
2093>  <6493
2094>  <8166
2095>  <60f1
2096>  <9b27
2097>  <9912
2098>  <64ec
2099>  <81a9
209a>  <6506
209b>  <91c0
209c>  <9ce5
209d>  <8076
209e>  <5699
209f>  <9477
20a0>  <93b3
20a1>  <6ab8
20a2>  <7370
20a3>  <5be7
20a4>  <64f0
20a5>  <6fd8
20a6>  <9215
20a7>  <7d10
20a8>  <81bf
20a9>  <6fc3
20aa>  <8fb2
20ab>  <7627
20ac>  <8afe
20ad>  <6b50
20ae>  <9dd7
20af>  <6bc6
20b0>  <5614
20b1>  <6f1a
20b2>  <76e4
20b3>  <9f90
20b4>  <8ce0
20b5>  <5674
20b6>  <9d6c
20b7>  <9a19
20b8>  <98c4
20b9>  <983b
20ba>  <8ca7
20bb>  <860b
20bc>  <6191
20bd>  <8a55
20be>  <6f51
20bf>  <9817
20c0>  <64b2
20c1>  <92ea
20c2>  <50d5
20c3>  <6a38
20c4>  <8b5c
20c5>  <81cd
20c6>  <9f4a
20c7>  <9a0e
20c8>  <8c48
20c9>  <5553
20ca>  <6c23
20cb>  <8a16
20cc>  <727d
20cd>  <91fa
20ce>  <925b
20cf>  <9077
20d0>  <7c3d
20d1>  <8b19
20d2>  <9322
20d3>  <9257
20d4>  <6dfa
20d5>  <8b74
20d6>  <5879
20d7>  <69cd
20d8>  <55c6
20d9>  <58bb
20da>  <8594
20db>  <6436
20dc>  <936c
20dd>  <6a4b
20de>  <55ac
20df>  <50d1
20e0>  <7ff9
20e1>  <7ac5
20e2>  <7aca
20e3>  <6b3d
20e4>  <89aa
20e5>  <5be2
20e6>  <8f15
20e7>  <6c2b
20e8>  <50be
20e9>  <9803
20ea>  <8acb
20eb>  <6176
20ec>  <74ca
20ed>  <7aae
20ee>  <8da8
20ef>  <5340
20f0>  <8ec0
20f1>  <9a45
20f2>  <9f72
20f3>  <9874
20f4>  <6b0a
20f5>  <52f8
20f6>  <9d72
20f7>  <78ba
20f8>  <8b93
20f9>  <9952
20fa>  <64fe
20fb>  <7e5e
20fc>  <71b1
20fd>  <97cc
20fe>  <8a8d
20ff>  <7d09
