2800>  <4f82
2801>  <4f85
2802>  <4f87
2803>  <4f8a
2804>  <4f8c
2805>  <4f8e
2806>  <4f90
2809>  <4f95
280d>  <4f9c
2812>  <4fa4
2813>  <4fab
2814>  <4fad
2831>  <4fd9
2832>  <4fdb
2833>  <4fe2
2836>  <4fe7
2839>  <4ff0
283a>  <4ff2
283f>  <4ff9
2843>  <4fff
284b>  <500a
284c>  <500e
284d>  <5010
284e>  <5013
2852>  <501b
2855>  <5020
2859>  <5027
2865>  <503b
2866>  <503d
2870>  <504d
287a>  <505b
28a7>  <5097
28b0>  <50a4
28b1>  <50a6
28b8>  <50b6
28ca>  <50d0
28e1>  <50f4
28e5>  <50fa
28ea>  <5101
28eb>  <5103
28ec>  <5105
28ed>  <510a
28f2>  <5111
28f3>  <5113
28fc>  <5120
2807 2808 4f92
280a 280c 4f98
280e 280f 4f9e
2810 2811 4fa1
2815 2819 4fb0
281a 2822 4fb6
2823 2824 4fc0
2825 2828 4fc6
2829 282b 4fcb
282c 2830 4fd2
2834 2835 4fe4
2837 2838 4feb
283b 283e 4ff4
2840 2842 4ffb
2844 2848 5001
2849 284a 5007
284f 2851 5015
2853 2854 501d
2856 2858 5022
285a 2864 502f
2867 286a 503f
286b 286d 5044
286e 286f 504a
2871 2875 5050
2876 2879 5056
287b 2882 505d
2883 2888 5066
2889 288f 506d
2890 2892 5078
2893 2894 507c
2895 2898 5081
2899 289a 5086
289b 289e 5089
289f 28a6 508e
28a8 28af 509a
28b2 28b3 50aa
28b4 28b7 50ae
28b9 28ba 50b8
28bb 28bc 50bc
28bd 28bf 50bf
28c0 28c1 50c3
28c2 28c4 50c6
28c5 28c9 50ca
28cb 28cd 50d2
28ce 28d0 50d7
28d1 28d3 50db
28d4 28d9 50df
28da 28dc 50e9
28dd 28e0 50ef
28e2 28e4 50f6
28e6 28e9 50fc
28ee 28f1 510c
28f4 28f5 5116
28f6 28fb 5119
28fd 28ff 5122
