5000>  <9581
5005>  <958a
5006>  <958d
5007>  <9590
5008>  <9592
5014>  <95a2
5017>  <95aa
5021>  <95ba
5027>  <95c7
5028>  <95c9
5034>  <95dd
503b>  <95ec
503c>  <95ff
503d>  <9607
503e>  <9613
503f>  <9618
5040>  <961b
5041>  <961e
5042>  <9620
5053>  <963e
5054>  <9641
5055>  <9643
5056>  <964a
5060>  <965c
5061>  <965e
5062>  <9660
5065>  <966b
5069>  <9671
5075>  <9687
5076>  <9689
5077>  <968c
507b>  <9696
507c>  <969a
5087>  <96a9
508d>  <96b2
508e>  <96b5
508f>  <96b7
5090>  <96ba
5091>  <96bf
5094>  <96c8
509d>  <96da
50a1>  <96e1
50ae>  <96f8
50af>  <96fa
50b2>  <96ff
50b5>  <9705
50c3>  <971d
50d2>  <9731
50de>  <9743
50f1>  <975f
50ff>  <9775
5001 5002 9584
5003 5004 9587
5009 500b 9595
500c 5013 9599
5015 5016 95a6
5018 501b 95ae
501c 501e 95b3
501f 5020 95b7
5022 5024 95c0
5025 5026 95c4
5029 502b 95cd
502c 502e 95d1
502f 5033 95d7
5035 5036 95df
5037 5038 95e3
5039 503a 95e6
5043 5049 9623
504a 504c 962b
504d 504e 962f
504f 5052 9637
5057 5058 964e
5059 505b 9651
505c 505d 9656
505e 505f 9659
5063 5064 9665
5066 5068 966d
506a 506d 9679
506e 5074 967e
5078 507a 9691
507d 5086 969d
5088 508c 96ab
5092 5093 96c2
5095 5096 96ca
5097 5098 96d0
5099 509a 96d3
509b 509c 96d7
509e 50a0 96dd
50a2 50a5 96e4
50a6 50a9 96eb
50aa 50ab 96f0
50ac 50ad 96f4
50b0 50b1 96fc
50b3 50b4 9702
50b6 50b8 970a
50b9 50bb 9710
50bc 50bd 9714
50be 50c2 9717
50c4 50cb 971f
50cc 50cd 9728
50ce 50cf 972b
50d0 50d1 972e
50d3 50d7 9733
50d8 50da 973a
50db 50dd 973f
50df 50e1 9745
50e2 50ea 9749
50eb 50ec 9754
50ed 50ee 9757
50ef 50f0 975c
50f2 50f3 9763
50f4 50f5 9766
50f6 50fe 976a
