1800 7e7f
1803 7e8c
1804 7e92
1805 7e90
1808 7e96
1809 7e8e
180c 7f38
180d 7f3a
180e 7f45
1814 7f55
1815 7f54
1816 7f58
181b 7f67
181c 7f78
181d 7f82
181e 7f86
181f 7f83
1820 7f88
1821 7f87
1822 7f8c
1823 7f94
1824 7f9e
1825 7f9d
1826 7f9a
1827 7fa3
1828 7faf
1829 7fb2
182a 7fb9
182b 7fae
182c 7fb6
182d 7fb8
182e 8b71
1831 7fca
1832 7fd5
1833 7fd4
1834 7fe1
1835 7fe6
1836 7fe9
1837 7ff3
1838 7ff9
1839 98dc
183a 8006
183b 8004
183c 800b
183d 8012
1840 801c
1841 8021
1842 8028
1843 803f
1844 803b
1845 804a
1846 8046
1847 8052
1848 8058
1849 805a
184a 805f
184b 8062
184c 8068
184d 8073
184e 8072
184f 8070
1850 8076
1851 8079
1852 807d
1853 807f
1854 8084
1855 8086
1856 8085
1857 809b
1858 8093
1859 809a
185a 80ad
185b 5190
185c 80ac
185d 80db
185e 80e5
185f 80d9
1860 80dd
1861 80c4
1862 80da
1863 80d6
1864 8109
1865 80ef
1866 80f1
1867 811b
1868 8129
1869 8123
186a 812f
186b 814b
186c 968b
186d 8146
186e 813e
186f 8153
1870 8151
1871 80fc
1872 8171
1873 816e
1876 8174
1877 8183
1878 8188
1879 818a
187a 8180
187b 8182
187c 81a0
187d 8195
187e 81a4
187f 81a3
1880 815f
1881 8193
1882 81a9
1883 81b0
1884 81b5
1885 81be
1886 81b8
1887 81bd
1888 81c0
1889 81c2
188a 81ba
188b 81c9
188c 81cd
188d 81d1
188e 81d9
188f 81d8
1890 81c8
1891 81da
1894 81e7
1897 81fe
189a 8205
189b 8207
189c 820a
189d 820d
189e 8210
189f 8216
18a0 8229
18a1 822b
18a2 8238
18a3 8233
18a4 8240
18a5 8259
18a6 8258
18a7 825d
18a8 825a
18a9 825f
18aa 8264
18ab 8262
18ac 8268
18af 822e
18b0 8271
18b3 827e
18b4 828d
18b5 8292
18b6 82ab
18b7 829f
18b8 82bb
18b9 82ac
18ba 82e1
18bb 82e3
18bc 82df
18bd 82d2
18be 82f4
18bf 82f3
18c0 82fa
18c1 8393
18c2 8303
18c3 82fb
18c4 82f9
18c5 82de
18c6 8306
18c7 82dc
18c8 8309
18c9 82d9
18ca 8335
18cb 8334
18cc 8316
18cd 8332
18ce 8331
18cf 8340
18d0 8339
18d1 8350
18d2 8345
18d3 832f
18d4 832b
18d7 8385
18d8 839a
18d9 83aa
18da 839f
18db 83a2
18dc 8396
18dd 8323
18de 838e
18df 8387
18e0 838a
18e1 837c
18e2 83b5
18e3 8373
18e4 8375
18e5 83a0
18e6 8389
18e7 83a8
18e8 83f4
18e9 8413
18ea 83eb
18eb 83ce
18ec 83fd
18ed 8403
18ee 83d8
18ef 840b
18f0 83c1
18f1 83f7
18f2 8407
18f3 83e0
18f4 83f2
18f5 840d
18f6 8422
18f7 8420
18f8 83bd
18f9 8438
18fa 8506
18fb 83fb
18fc 846d
18fd 842a
18fe 843c
18ff 855a
1801 1802 7e88
1806 1807 7e93
180a 180b 7e9b
180f 1811 7f4c
1812 1813 7f50
1817 1818 7f5f
1819 181a 7f68
182f 1830 7fc5
183e 183f 8018
1874 1875 8165
1892 1893 81df
1895 1896 81fa
1898 1899 8201
18ad 18ae 826a
18b1 18b2 8277
18d5 18d6 8317
