2c00 30c1
2c01 30c4
2c02 30c6
2c03 30c8
2c0a 30d2
2c0b 30d5
2c0c 30d8
2c0d 30db
2c13 30e4
2c14 30e6
2c20 65e5
2c21 6708
2c22 706b
2c23 6c34
2c24 6728
2c25 91d1
2c26 571f
2c27 554f
2c28 7b54
2c29 4f8b
2c2a 25a0
2c2b 0030
2c2c 00300030
2c2d 0031
2c2e 00300031
2c2f 0032
2c30 00300032
2c31 0033
2c32 00300033
2c33 0034
2c34 00300034
2c35 0035
2c36 00300035
2c37 0036
2c38 00300036
2c39 0037
2c3a 00300037
2c3b 0038
2c3c 00300038
2c3d 0039
2c3e 00300039
2c3f 00310030
2c40 00310031
2c41 00310032
2c42 00310033
2c43 00310034
2c44 00310035
2c45 00310036
2c46 00310037
2c47 00310038
2c48 00310039
2c49 00320030
2c4a 00320031
2c4b 00320032
2c4c 00320033
2c4d 00320034
2c4e 00320035
2c4f 00320036
2c50 00320037
2c51 00320038
2c52 00320039
2c53 00330030
2c54 00330031
2c55 00330032
2c56 00330033
2c57 00330034
2c58 00330035
2c59 00330036
2c5a 00330037
2c5b 00330038
2c5c 00330039
2c5d 00340030
2c5e 00340031
2c5f 00340032
2c60 00340033
2c61 00340034
2c62 00340035
2c63 00340036
2c64 00340037
2c65 00340038
2c66 00340039
2c67 00350030
2c68 00350031
2c69 00350032
2c6a 00350033
2c6b 00350034
2c6c 00350035
2c6d 00350036
2c6e 00350037
2c6f 00350038
2c70 00350039
2c71 00360030
2c72 00360031
2c73 00360032
2c74 00360033
2c75 00360034
2c76 00360035
2c77 00360036
2c78 00360037
2c79 00360038
2c7a 00360039
2c7b 00370030
2c7c 00370031
2c7d 00370032
2c7e 00370033
2c7f 00370034
2c80 00370035
2c81 00370036
2c82 00370037
2c83 00370038
2c84 00370039
2c85 00380030
2c86 00380031
2c87 00380032
2c88 00380033
2c89 00380034
2c8a 00380035
2c8b 00380036
2c8c 00380037
2c8d 00380038
2c8e 00380039
2c8f 00390030
2c90 00390031
2c91 00390032
2c92 00390033
2c93 00390034
2c94 00390035
2c95 00390036
2c96 00390037
2c97 00390038
2c98 00390039
2c99 003100300030
2cce 3042
2ccf 3044
2cd0 3046
2cd1 3048
2cd4 304d
2cd5 304f
2cd6 3051
2cd7 3053
2cd8 3055
2cd9 3057
2cda 3059
2cdb 305b
2cdc 305d
2cdd 305f
2cde 3061
2cdf 3064
2ce0 3066
2ce1 3068
2ce8 3072
2ce9 3075
2cea 3078
2ceb 307b
2cf1 3084
2cf2 3086
2cfe 30a2
2cff 30a4
2c04 2c09 30ca
2c0e 2c12 30de
2c15 2c1a 30e8
2c1b 2c1f 30ef
2c9a 2cb3 0061
2cb4 2ccd 0041
2cd2 2cd3 304a
2ce2 2ce7 306a
2cec 2cf0 307e
2cf3 2cf8 3088
2cf9 2cfd 308f
