0d00 d5f5
0d01 d5f7
0d02 d5f9
0d05 d604
0d06 d608
0d0c d61c
0d0d d620
0d0e d624
0d0f d62d
0d12 d63c
0d13 d640
0d14 d645
0d17 d64b
0d18 d64d
0d19 d651
0d1c d658
0d1d d65c
0d1e d667
0d1f d669
0d22 d674
0d23 d683
0d24 d685
0d27 d690
0d28 d694
0d29 d69d
0d2a d69f
0d2b d6a1
0d2c d6a8
0d2d d6ac
0d2e d6b0
0d2f d6b9
0d30 d6bb
0d33 d6c8
0d34 d6cc
0d35 d6d1
0d36 d6d4
0d37 d6d7
0d38 d6d9
0d39 d6e0
0d3a d6e4
0d3b d6e8
0d3c d6f0
0d3d d6f5
0d40 d700
0d41 d704
0d42 d711
0d45 d71c
0d46 d720
0d49 d72b
0d4a d72d
0d4d d738
0d4e d73c
0d4f d744
0d50 d747
0d51 d749
0d54 d754
0d5b d763
0d5c d765
0d5d d769
0d5e d76c
0d5f d770
0d60 d774
0d63 d781
0d66 d78c
0d67 d790
0d6a d79b
0d6b d79d
0d6c 4f3d
0d6d 4f73
0d6e 5047
0d6f 50f9
0d70 52a0
0d71 53ef
0d72 5475
0d73 54e5
0d74 5609
0d75 5ac1
0d76 5bb6
0d77 6687
0d7a 67ef
0d7b 6b4c
0d7c 73c2
0d7d 75c2
0d7e 7a3c
0d7f 82db
0d80 8304
0d81 8857
0d82 8888
0d83 8a36
0d84 8cc8
0d85 8dcf
0d86 8efb
0d87 8fe6
0d88 99d5
0d89 523b
0d8a 5374
0d8b 5404
0d8c 606a
0d8d 6164
0d8e 6bbc
0d8f 73cf
0d90 811a
0d91 89ba
0d92 89d2
0d93 95a3
0d94 4f83
0d95 520a
0d96 58be
0d97 5978
0d98 59e6
0d99 5e72
0d9a 5e79
0d9b 61c7
0d9c 63c0
0d9d 6746
0d9e 67ec
0d9f 687f
0da0 6f97
0da1 764e
0da2 770b
0da3 78f5
0da4 7a08
0da5 7aff
0da6 7c21
0da7 809d
0da8 826e
0da9 8271
0daa 8aeb
0dab 9593
0dac 4e6b
0dad 559d
0dae 66f7
0daf 6e34
0db0 78a3
0db1 7aed
0db2 845b
0db3 8910
0db4 874e
0db5 97a8
0db6 52d8
0db7 574e
0db8 582a
0db9 5d4c
0dba 611f
0dbb 61be
0dbc 6221
0dbd 6562
0dbe 67d1
0dbf 6a44
0dc0 6e1b
0dc1 7518
0dc2 75b3
0dc3 76e3
0dc4 77b0
0dc5 7d3a
0dc6 90af
0dc9 9f95
0dca 5323
0dcb 5cac
0dcc 7532
0dcd 80db
0dce 9240
0dcf 9598
0dd0 525b
0dd1 5808
0dd2 59dc
0dd3 5ca1
0dd4 5d17
0dd5 5eb7
0dd6 5f3a
0dd7 5f4a
0dd8 6177
0dd9 6c5f
0dda 757a
0ddb 7586
0ddc 7ce0
0ddd 7d73
0dde 7db1
0ddf 7f8c
0de0 8154
0de1 8221
0de2 8591
0de3 8941
0de4 8b1b
0de5 92fc
0de6 964d
0de7 9c47
0de8 4ecb
0de9 4ef7
0dea 500b
0deb 51f1
0dec 584f
0ded 6137
0dee 613e
0def 6168
0df0 6539
0df1 69ea
0df2 6f11
0df3 75a5
0df4 7686
0df5 76d6
0df6 7b87
0df7 82a5
0df8 84cb
0df9 93a7
0dfa 958b
0dfb 5580
0dfc 5ba2
0dfd 5751
0dfe 7cb3
0dff 7fb9
0d03 0d04 d600
0d07 0d08 d610
0d09 0d0b d613
0d10 0d11 d638
0d15 0d16 d648
0d1a 0d1b d654
0d20 0d21 d670
0d25 0d26 d68c
0d31 0d32 d6c4
0d3e 0d3f d6fc
0d43 0d44 d718
0d47 0d48 d728
0d4b 0d4c d734
0d52 0d53 d750
0d55 0d58 d756
0d59 0d5a d760
0d61 0d62 d77c
0d64 0d65 d788
0d68 0d69 d798
0d78 0d79 67b6
0dc7 0dc8 9451
