1900 64ec
1901 6905
1902 6bc5
1903 7591
1904 77e3
1905 7fa9
1906 8264
1907 858f
1908 87fb
1909 8863
190a 8abc
190b 8b70
190c 91ab
190d 4e8c
190e 4ee5
190f 4f0a
1910 5937
1911 59e8
1912 5df2
1913 5f1b
1914 5f5b
1915 6021
1916 723e
1917 73e5
1918 7570
1919 75cd
191a 79fb
191b 800c
191c 8033
191d 8084
191e 82e1
191f 8351
1920 8cbd
1921 8cb3
1922 9087
1923 98f4
1924 990c
1925 7037
1926 76ca
1927 7fca
1928 7fcc
1929 7ffc
192a 8b1a
192b 4eba
192c 4ec1
192d 5203
192e 5370
192f 54bd
1930 56e0
1931 59fb
1932 5bc5
1933 5f15
1934 5fcd
1935 6e6e
1936 7d6a
1937 8335
1938 8693
1939 8a8d
193a 976d
193b 9777
193c 4e00
193d 4f5a
193e 4f7e
193f 58f9
1940 65e5
1941 6ea2
1942 9038
1943 93b0
1944 99b9
1945 4efb
1946 58ec
1947 598a
1948 59d9
1949 6041
194a 7a14
194b 834f
194c 8cc3
194d 5165
194e 5344
194f 4ecd
1950 5269
1951 5b55
1952 82bf
1953 4ed4
1954 523a
1955 54a8
1956 59c9
1957 59ff
1958 5b50
1959 5b57
195a 5b5c
195b 6063
195c 6148
195d 6ecb
195e 7099
195f 716e
1960 7386
1961 74f7
1962 75b5
1963 78c1
1964 7d2b
1965 8005
1966 81ea
1967 8328
1968 8517
1969 85c9
196a 8aee
196b 8cc7
196c 96cc
196d 4f5c
196e 52fa
196f 56bc
1970 65ab
1971 6628
1972 707c
1973 70b8
1974 7235
1975 7dbd
1976 828d
1977 914c
1978 96c0
1979 9d72
197a 5b71
197b 68e7
197c 6b98
197d 6f7a
197e 76de
197f 5c91
1980 66ab
1981 6f5b
1982 7bb4
1983 7c2a
1984 8836
1985 96dc
1986 4e08
1987 4ed7
1988 5320
1989 5834
198a 58bb
198b 58ef
198c 596c
198d 5c07
198e 5e33
198f 5e84
1990 5f35
1991 638c
1992 66b2
1993 6756
1994 6a1f
1995 6aa3
1996 6b0c
1997 6f3f
1998 7246
1999 7350
199a 748b
199b 7ae0
199c 7ca7
199d 8178
199e 81df
199f 81e7
19a0 838a
19a1 846c
19a2 8523
19a3 8594
19a4 85cf
19a5 88dd
19a6 8d13
19a7 91ac
19a8 9577
19a9 969c
19aa 518d
19ab 54c9
19ac 5728
19ad 5bb0
19ae 624d
19af 6750
19b0 683d
19b1 6893
19b2 6e3d
19b3 6ed3
19b4 707d
19b5 7e21
19b6 88c1
19b7 8ca1
19b8 8f09
19b9 9f4b
19ba 9f4e
19bb 722d
19bc 7b8f
19bd 8acd
19be 931a
19bf 4f47
19c0 4f4e
19c1 5132
19c2 5480
19c3 59d0
19c4 5e95
19c5 62b5
19c6 6775
19c7 696e
19c8 6a17
19c9 6cae
19ca 6e1a
19cb 72d9
19cc 732a
19cd 75bd
19ce 7bb8
19cf 7d35
19d0 82e7
19d1 83f9
19d2 8457
19d3 85f7
19d4 8a5b
19d5 8caf
19d6 8e87
19d7 9019
19d8 90b8
19d9 96ce
19da 9f5f
19db 52e3
19dc 540a
19dd 5ae1
19de 5bc2
19df 6458
19e0 6575
19e1 6ef4
19e2 72c4
19e3 7684
19e4 7a4d
19e5 7b1b
19e6 7c4d
19e7 7e3e
19e8 7fdf
19e9 837b
19ea 8b2b
19eb 8cca
19ec 8d64
19ed 8de1
19ee 8e5f
19ef 8fea
19f0 8ff9
19f1 9069
19f2 93d1
19f3 4f43
19f4 4f7a
19f5 50b3
19f6 5168
19f7 5178
19f8 524d
19f9 526a
19fa 5861
19fb 587c
19fc 5960
19fd 5c08
19fe 5c55
19ff 5edb
