1f00 6703
1f01 6a9c
1f02 6dee
1f03 6fae
1f04 7070
1f05 736a
1f06 7e6a
1f07 81be
1f08 8334
1f09 86d4
1f0a 8aa8
1f0b 8cc4
1f0c 5283
1f0d 7372
1f0e 5b96
1f0f 6a6b
1f10 9404
1f11 54ee
1f12 5686
1f13 5b5d
1f14 6548
1f15 6585
1f16 66c9
1f17 689f
1f18 6d8d
1f19 6dc6
1f1a 723b
1f1b 80b4
1f1c 9175
1f1d 9a4d
1f1e 4faf
1f1f 5019
1f20 539a
1f21 540e
1f22 543c
1f23 5589
1f24 55c5
1f25 5e3f
1f26 5f8c
1f27 673d
1f28 7166
1f29 73dd
1f2a 9005
1f2b 52db
1f2c 52f3
1f2d 5864
1f2e 58ce
1f2f 7104
1f30 718f
1f31 71fb
1f32 85b0
1f33 8a13
1f34 6688
1f35 85a8
1f36 55a7
1f37 6684
1f38 714a
1f39 8431
1f3a 5349
1f3b 5599
1f3c 6bc1
1f3d 5f59
1f3e 5fbd
1f3f 63ee
1f40 6689
1f41 7147
1f42 8af1
1f43 8f1d
1f44 9ebe
1f45 4f11
1f46 643a
1f47 70cb
1f48 7566
1f49 8667
1f4a 6064
1f4b 8b4e
1f4c 9df8
1f4d 5147
1f4e 51f6
1f4f 5308
1f50 6d36
1f51 80f8
1f52 9ed1
1f53 6615
1f54 6b23
1f55 7098
1f56 75d5
1f57 5403
1f58 5c79
1f59 7d07
1f5a 8a16
1f5b 6b20
1f5c 6b3d
1f5d 6b46
1f5e 5438
1f5f 6070
1f60 6d3d
1f61 7fd5
1f62 8208
1f63 50d6
1f64 51de
1f65 559c
1f66 566b
1f67 56cd
1f68 59ec
1f69 5b09
1f6a 5e0c
1f6b 6199
1f6c 6198
1f6d 6231
1f6e 665e
1f6f 66e6
1f70 7199
1f73 72a7
1f74 79a7
1f75 7a00
1f76 7fb2
1f77 8a70
1f7a 2025
1f7b 00ad
1f7c 2015
1f7d 2225
1f7e ff5e
1f8b 3013
1f8c ff01
1f8f ff0c
1f90 ff0e
1f97 ff3b
1f98 ff3d
1f99 ff3f
1ffc 203e
1ffd 007e
1ffe 005c
1fff 231c
1f71 1f72 71b9
1f78 1f79 3001
1f7f 1f80 3014
1f81 1f8a 3008
1f8d 1f8e ff08
1f91 1f96 ff1a
1f9a 1f9d ff5b
1f9e 1ffb 0020
