2100 005b00310035005d
2101 005b00310036005d
2102 005b00310037005d
2103 005b00310038005d
2104 005b00310039005d
2105 005b00320030005d
211b 22cf
211e 22ce
2126 228a
2128 228b
212b 2279
2132 2221
2133 2245
2134 2243
2135 2248
2137 22a4
2138 22ab
213a 003020de
213b 003120de
213c 003220de
213d 003320de
213e 003420de
213f 003520de
2140 003620de
2141 003720de
2142 003820de
2143 003920de
214e 00410029
214f 00420029
2150 00430029
2151 00440029
2152 00450029
2153 00460029
2154 00470029
2155 00480029
2156 00490029
2157 004a0029
2158 004b0029
2159 004c0029
215a 004d0029
215b 004e0029
215c 004f0029
215d 00500029
215e 00510029
215f 00520029
2160 00530029
2161 00540029
2162 00550029
2163 00560029
2164 00570029
2165 00580029
2166 00590029
2167 005a0029
2168 00610029
2169 00620029
216a 00630029
216b 00640029
216c 00650029
216d 00660029
216e 00670029
216f 00680029
2170 00690029
2171 006a0029
2172 006b0029
2173 006c0029
2174 006d0029
2175 006e0029
2176 006f0029
2177 00700029
2178 00710029
2179 00720029
217a 00730029
217b 00740029
217c 00750029
217d 00760029
217e 00770029
217f 00780029
2180 00790029
2181 007a0029
2182 0021
2183 00b0
2184 0027
2185 0022
2186 2034
2187 0028003200370029
2188 0028003200380029
2189 0028003200390029
218a 0028003300300029
218d 2020
218e 20202020
218f 20212021
2190 202020202020
2191 00a7
2192 0023
2193 002a
2194 002a
2197 2042
2198 002a
219b 2042
219c 002a
219f 2022
21a0 25a020df
21a1 25c720df
21a3 25a120df
21a8 261c
21a9 261e
21ac 25c720de
21ae 25a120de
21af 25c620de
21b4 25b320dd
21b5 25b220dd
21b6 271a
21b7 2716
21b9 25ef
21bf 25cc
21d5 20a9
21d8 262f
21da 262f
21db 262f
21df 3020
21f5 0028003200310029
21f6 0028003200320029
21f7 0028003200330029
21f8 0028003200340029
21f9 0028003200350029
21fa 0028003200360029
21fb 2642
21fc 22a9
21fd 3036
21fe 25cb
21ff 25d3
211c 211d 22ce
211f 2120 2280
2121 2124 2270
2129 212a 2276
212c 212d 22da
2145 214d 2460
21a4 21a7 3008
21e1 21ea 2776
